Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
EVRG,SO,0.105391,1,0.9681,1.1061
ADP,XOM,0.124117,2,0.9586,0.8628
CB,MRSH,0.134241,3,0.9576,1.0118
DTE,LNT,0.141089,4,0.9758,1.12
BXP,EQR,0.144513,5,0.9329,0.931
VTR,WELL,0.146796,6,0.9776,1.01
CMS,PNW,0.148846,7,0.9821,1.0662
CPT,EQR,0.154375,8,0.9649,1.1551
DTE,XEL,0.164508,9,0.9733,1.1059
BXP,CPT,0.165154,10,0.9564,0.7986
EVRG,LNT,0.16782,11,0.9589,0.9174
DUK,XEL,0.167872,12,0.9698,1.009
AEP,ETR,0.169429,13,0.8746,0.841
ADP,MDLZ,0.171015,14,0.9317,0.9508
LNT,XEL,0.173045,15,0.9694,0.96
CMS,WEC,0.1739,16,0.9815,0.8682
LLY,SO,0.177426,17,0.96,1.1469
LNT,SO,0.177961,18,0.9717,1.1576
ED,SO,0.178953,19,0.9537,0.8428
LH,SYY,0.183735,20,0.8598,0.841
