Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
CNP,LNT,0.0617,1,0.9098,0.8274
CMS,DTE,0.064108,2,0.9373,0.7988
CNP,ED,0.070477,3,0.8491,0.8934
ETR,PPL,0.078584,4,0.9275,0.8343
CNP,NI,0.092965,5,0.8493,0.8023
ED,LNT,0.099012,6,0.8474,0.7332
ED,SRE,0.107417,7,0.8628,0.8335
CMS,NI,0.110361,8,0.8767,1.0049
CMS,KO,0.113696,9,0.8453,0.8786
EIX,NI,0.11671,10,0.8469,1.0254
CNP,SRE,0.121133,11,0.8228,0.8342
ED,NI,0.122241,12,0.7968,0.7154
FE,PPL,0.127926,13,0.9046,0.7212
LNT,SRE,0.134745,14,0.7676,0.8534
LNT,NI,0.137666,15,0.7588,0.7838
ETR,FE,0.140341,16,0.8286,0.9431
MAA,UDR,0.140598,17,0.9574,0.9369
APH,WAB,0.146226,18,0.9896,0.983
HON,PPG,0.158638,19,0.8593,0.6994
NI,SRE,0.163446,20,0.6911,0.7506
