Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
CPT,UDR,0.042558,1,0.9642,1.0223
DUK,XEL,0.054298,2,0.9669,1.0466
EQR,UDR,0.055584,3,0.9592,1.0678
AIV,AVB,0.057843,4,0.9718,0.8712
AEP,DTE,0.058648,5,0.9454,1.0134
AEP,XEL,0.067684,6,0.9821,0.9527
CPT,EQR,0.070313,7,0.9488,0.9055
ED,XEL,0.07085,8,0.9421,0.9229
VTR,WELL,0.071345,9,0.9782,0.9711
DTE,ES,0.072037,10,0.9183,0.9398
EVRG,EXC,0.07283,11,0.9636,0.88
AEP,ED,0.075934,12,0.939,0.9301
LNT,WEC,0.082461,13,0.9085,0.9502
CMS,DTE,0.095486,14,0.9132,1.029
CMS,LNT,0.103055,15,0.9626,1.077
DUK,PNW,0.105531,16,0.9629,0.975
CMS,WEC,0.106743,17,0.9635,1.1247
AVB,UDR,0.107532,18,0.9667,1.0035
AEP,CMS,0.111005,19,0.9063,0.8596
AEP,ES,0.113666,20,0.8926,0.9742
