Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
ES,WEC,0.0998,1,0.9861
ES,XEL,0.225721,2,0.9679
WEC,XEL,0.241576,3,0.9702
MO,WEC,0.304249,4,0.9523
ES,MO,0.31753,5,0.9484
DGX,LH,0.346202,6,0.9611
ED,WEC,0.349277,7,0.9654
ED,XEL,0.365384,8,0.9682
CNP,PNW,0.368884,9,0.9851
JNJ,PEP,0.375475,10,0.9394
CHD,XEL,0.388125,11,0.9169
ACGL,IBM,0.40787,12,0.9616
MO,XEL,0.408368,13,0.9327
CLX,JNJ,0.414816,14,0.9364
ATO,EIX,0.437602,15,0.9487
HRL,JNJ,0.438461,16,0.941
AEE,JNJ,0.440969,17,0.9271
PCG,SO,0.44317,18,0.942
BMY,CMS,0.459097,19,0.97
ATO,IBM,0.467926,20,0.9624
