Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
BAC,JPM,0.160388,1,0.9925,1.0619
FRT,REG,0.175784,2,0.9945,1.1034
CL,KMB,0.177699,3,0.9256,0.9158
EQR,ESS,0.187862,4,0.9853,1.0808
AEP,SO,0.189549,5,0.9479,0.8796
HBAN,USB,0.20838,6,0.9903,1.0321
MDLZ,PEP,0.217386,7,0.8678,1.1022
MRK,VZ,0.221235,8,0.8553,1.1753
AIV,AVB,0.23294,9,0.9874,1.1493
CL,XEL,0.234281,10,0.8899,0.8515
PRU,TFC,0.235364,11,0.9866,1.033
GPC,PPG,0.252539,12,0.973,0.9412
CB,TRV,0.252956,13,0.97,1.1062
AEE,ES,0.257805,14,0.8532,0.831
RF,TFC,0.261917,15,0.9918,1.0489
ES,WEC,0.264593,16,0.8476,0.9134
PEP,VZ,0.264954,17,0.7139,0.818
AEP,ATO,0.269224,18,0.9215,1.1262
AZO,ORLY,0.271936,19,0.9616,0.8396
NI,PNW,0.272561,20,0.9389,0.8166
