Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
AEP,ED,0.031666,1,0.9816
DTE,ED,0.052951,2,0.9769
DUK,PNW,0.053689,3,0.9678
DTE,LNT,0.054019,4,0.9679
AEP,LNT,0.055306,5,0.9838
ED,LNT,0.06705,6,0.9665
AEP,XEL,0.067667,7,0.9809
AEE,LNT,0.070873,8,0.9703
AEP,WEC,0.072191,9,0.9556
CMS,PNW,0.078936,10,0.9413
ATO,XEL,0.080089,11,0.9579
AEP,DTE,0.081838,12,0.9754
ED,XEL,0.082115,13,0.9796
VTR,WELL,0.084246,14,0.9816
ED,WEC,0.085554,15,0.9438
CMS,DUK,0.089778,16,0.9718
NI,XEL,0.093329,17,0.9511
CMS,DTE,0.09482,18,0.9597
CMS,LNT,0.095871,19,0.9579
FITB,ZION,0.100058,20,0.987
