Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
EIX,PCG,0.032768,1,0.9869
CMS,ED,0.035994,2,0.9814
AEP,DUK,0.050545,3,0.9914
ES,XEL,0.052709,4,0.9833
CMS,PCG,0.054049,5,0.9726
CMS,PPL,0.054933,6,0.9895
PEP,SRE,0.062256,7,0.9614
AEP,LNT,0.064214,8,0.9849
PCG,SRE,0.064466,9,0.9642
ATO,CMS,0.067556,10,0.9745
DUK,WEC,0.067651,11,0.9648
DUK,LNT,0.0781,12,0.9848
ED,LNT,0.078513,13,0.9859
CMS,ES,0.078669,14,0.9884
ATO,PPL,0.081877,15,0.967
AVB,CMS,0.084515,16,0.9632
AVB,UDR,0.085229,17,0.9517
CMS,SRE,0.08766,18,0.9613
ATO,ED,0.088381,19,0.9628
ETR,WEC,0.090121,20,0.9247
