Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
CMS,XEL,0.026598,1,0.9954,1.0522
WEC,XEL,0.04929,2,0.989,1.0243
CMS,WEC,0.062064,3,0.9887,1.0077
PNC,WFC,0.066495,4,0.9704,0.8824
ES,PNW,0.066512,5,0.9838,0.9347
AEP,SO,0.067962,6,0.9739,0.9894
FRT,KIM,0.077209,7,0.9749,0.8561
AEE,PNW,0.0858,8,0.9825,1.0824
NTRS,PRU,0.089183,9,0.9826,0.8655
DTE,PCG,0.095495,10,0.9577,0.9683
PNC,USB,0.101215,11,0.9522,1.1707
HON,MRSH,0.104971,12,0.8751,0.8536
AEP,XEL,0.1139,13,0.9813,0.8191
CB,TRV,0.114899,14,0.9366,0.9139
AEE,CMS,0.117353,15,0.9783,0.9665
BXP,VNO,0.119209,16,0.9075,0.7996
AEE,XEL,0.121119,17,0.9813,1.0251
PRU,UNM,0.123551,18,0.9703,1.0208
LIN,TROW,0.123674,19,0.9298,1.0289
KIM,REG,0.125386,20,0.9646,0.9417
