Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
AVB,UDR,0.064765,1,0.9756,0.9895
AEE,WEC,0.083358,2,0.9559,0.908
CPT,MAA,0.102275,3,0.9802,1.0135
AEE,D,0.103888,4,0.9394,0.8856
AEE,ETR,0.11398,5,0.9686,0.7717
DUK,WEC,0.114574,6,0.9561,0.8613
JNJ,LNT,0.133693,7,0.8747,0.8511
AEP,CMS,0.133722,8,0.976,1.1726
ES,EVRG,0.135481,9,0.9281,0.8844
CMS,SO,0.13586,10,0.9767,0.8389
AEE,DUK,0.136048,11,0.9598,1.0091
PEP,PG,0.144107,12,0.9414,0.8549
DTE,DUK,0.154085,13,0.9639,1.2755
AEE,JNJ,0.166132,14,0.8951,1.1164
JNJ,WEC,0.170933,15,0.9193,0.6976
AEP,SO,0.175638,16,0.9635,0.9929
ETR,WEC,0.180346,17,0.9358,1.1115
DUK,JNJ,0.18158,18,0.9296,1.1027
DUK,EVRG,0.182524,19,0.8724,0.9313
AEE,LNT,0.183205,20,0.8844,1.0799
