Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
SO,XEL,0.061213,1,0.9806
ED,SO,0.073608,2,0.9821
ED,EVRG,0.096213,3,0.9789
ED,PNW,0.103504,4,0.9866
EVRG,LNT,0.104817,5,0.9774
PNW,WEC,0.128397,6,0.9694
AJG,CINF,0.139831,7,0.9803
ECL,PEP,0.143103,8,0.8513
ED,XEL,0.143119,9,0.9741
ED,LNT,0.153547,10,0.9671
LNT,PNW,0.153951,11,0.9725
O,XEL,0.154167,12,0.9436
PEP,PPL,0.159669,13,0.8397
D,NEE,0.162359,14,0.9392
DUK,O,0.16405,15,0.9266
DUK,XEL,0.166496,16,0.9718
PEG,RSG,0.167994,17,0.7442
O,VTR,0.172141,18,0.9373
ABT,PPL,0.174437,19,0.8792
MAC,SPG,0.17552,20,0.978
