Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
CMS,WEC,0.083011,1,0.9822
CPT,EQR,0.092318,2,0.9608
ED,SO,0.095395,3,0.9611
VTR,WELL,0.099687,4,0.9741
DTE,PNW,0.100165,5,0.9707
EVRG,LNT,0.105035,6,0.9515
DTE,EIX,0.114191,7,0.9754
AEE,SO,0.119862,8,0.9484
MKC,NEE,0.123707,9,0.9675
LNT,MDLZ,0.126591,10,0.9376
CMS,XEL,0.130761,11,0.9808
DUK,SO,0.132132,12,0.9801
DTE,XEL,0.137616,13,0.9627
AEE,ED,0.141802,14,0.9422
LLY,XEL,0.141993,15,0.9416
PNW,XEL,0.144036,16,0.9817
DTE,LLY,0.145451,17,0.9594
ADP,XOM,0.151382,18,0.9531
CAH,COR,0.151397,19,0.7581
FRT,O,0.154851,20,0.9798
