Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
CMS,XEL,0.018174,1,0.9852
ED,XEL,0.026114,2,0.9669
WEC,XEL,0.043134,3,0.9731
CMS,WEC,0.043982,4,0.9598
CMS,ED,0.050432,5,0.9486
ED,WEC,0.064796,6,0.9516
AEP,ED,0.076114,7,0.9416
AEP,XEL,0.08303,8,0.9389
AEE,DTE,0.090898,9,0.9498
ATO,CMS,0.095007,10,0.9632
ED,SO,0.101277,11,0.9327
LNT,PNW,0.102057,12,0.9333
ES,PEG,0.110098,13,0.8641
NEE,SO,0.118388,14,0.8997
SO,XEL,0.119259,15,0.9004
NEE,PCG,0.121326,16,0.9233
CMS,SO,0.12398,17,0.8757
SO,WEC,0.126778,18,0.8933
AEP,WEC,0.129747,19,0.9414
ATO,WEC,0.135255,20,0.9207
