Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
AEP,XEL,0.05131,1,0.9928,0.9458
CMS,FE,0.057337,2,0.9876,1.0403
AIV,UDR,0.072813,3,0.9763,0.9721
MAA,PSA,0.077977,4,0.9849,0.9753
ATO,LNT,0.082986,5,0.9855,0.8262
CMS,NEE,0.091934,6,0.9925,0.8892
AEP,ES,0.093311,7,0.989,1.0624
FE,LNT,0.107802,8,0.9753,1.0166
CMS,LNT,0.109612,9,0.9896,1.0884
EQR,UDR,0.111384,10,0.9848,1.1276
WEC,XEL,0.118034,11,0.9861,1.0564
ES,XEL,0.118444,12,0.9898,0.877
DTE,FE,0.13009,13,0.964,0.8702
ETR,NEE,0.13388,14,0.9938,1.1554
GL,USB,0.134308,15,0.8786,0.9282
CMS,EQR,0.137323,16,0.9693,0.9289
DTE,LNT,0.138742,17,0.9614,0.9087
EQR,FE,0.144853,18,0.9647,1.056
DTE,PEG,0.149257,19,0.9443,0.9953
FE,RSG,0.152094,20,0.9644,0.898
