Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
CMS,XEL,0.026403,1,0.9903
CMS,ES,0.033716,2,0.9805
ATO,CMS,0.034918,3,0.982
EIX,PCG,0.036217,4,0.9877
ES,XEL,0.038806,5,0.9792
CMS,ED,0.040299,6,0.9733
DUK,ED,0.050965,7,0.9779
DUK,LNT,0.052115,8,0.9651
ATO,XEL,0.057999,9,0.971
ED,XEL,0.063705,10,0.9749
ATO,ES,0.065422,11,0.9722
CMS,DUK,0.069098,12,0.9517
AEP,LNT,0.07026,13,0.9656
ATO,ED,0.070266,14,0.9468
AEP,DUK,0.074818,15,0.9877
AEP,SRE,0.077787,16,0.9524
AEE,PNW,0.079376,17,0.9594
BRK-B,L,0.094397,18,0.9694
CMS,LNT,0.100607,19,0.97
ATO,PCG,0.102422,20,0.9328
