Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
WEC,XEL,0.058025,1,0.9499
DUK,SO,0.072534,2,0.9729
LNT,PNW,0.084587,3,0.9515
CMS,PNW,0.089382,4,0.943
AEP,WEC,0.113681,5,0.9258
CMS,EVRG,0.117853,6,0.9294
ES,NEE,0.120362,7,0.9212
AVB,EQR,0.121256,8,0.9638
EVRG,GIS,0.127072,9,0.8706
EVRG,PNW,0.132273,10,0.9282
CMS,LNT,0.138785,11,0.8901
AEP,XEL,0.140615,12,0.8885
ABT,LLY,0.149118,13,0.9313
PEG,XEL,0.169259,14,0.8336
AEE,XEL,0.172511,15,0.9523
AMGN,PG,0.172708,16,0.8313
GIS,PNW,0.180206,17,0.8763
LNT,NEE,0.181027,18,0.8632
AEE,WEC,0.185455,19,0.9115
AEP,PEG,0.185595,20,0.8559
