Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
AEE,ETR,0.127061,1,0.8508
IBM,PCG,0.131616,2,0.8583
SO,XEL,0.14057,3,0.9135
ES,EVRG,0.140583,4,0.9679
CMS,CNP,0.140664,5,0.9735
EVRG,WEC,0.142539,6,0.9741
ES,WEC,0.14677,7,0.9559
ADP,CL,0.160262,8,0.9176
CLX,SO,0.173136,9,0.8983
ED,MMM,0.18214,10,0.9394
ETR,T,0.183878,11,0.6789
ES,PNW,0.184425,12,0.9561
IBM,KMB,0.198,13,0.7808
D,MO,0.202102,14,0.9624
ALL,HSIC,0.203394,15,0.9
ATO,LIN,0.208865,16,0.8044
CLX,PEP,0.209704,17,0.8708
CLX,XEL,0.211585,18,0.8903
ED,LUMN,0.212727,19,0.9046
IBM,WELL,0.213832,20,0.7729
