Ticker_A,Ticker_B,SSD,Hedge_Ratio,Rank,Mean_A,Std_A,Mean_B,Std_B
DHR,TMO,4.018649,0.992,1,155.11240595862978,26.67986867204318,366.01021806020583,60.44387332595394
FHN,KEY,4.30332,0.9914,2,9.132783297508482,2.3521443496999823,10.578475815909249,2.4574642543244822
CMA,HBAN,4.357386,0.9913,3,34.57146271448287,9.637949964399603,8.200692612027366,1.7541015768419044
FRT,REG,4.360632,0.9913,4,72.62348218948122,16.20184657519151,37.34717933715336,7.445790067838029
HBAN,KEY,4.58045,0.9908,5,8.200692612027366,1.7541015768419044,10.578475815909249,2.4574642543244822
FITB,RF,4.630441,0.9907,6,18.014600288300286,3.8645029341206265,9.961273267155601,2.040513716424361
MAC,SPG,4.666915,0.9907,7,9.286230948236254,5.399870078555414,61.797356317913724,24.022243809131933
JPM,KEY,4.959997,0.9901,8,92.39020756312779,14.33647249202899,10.578475815909249,2.4574642543244822
FITB,TFC,5.253523,0.9895,9,18.014600288300286,3.8645029341206265,32.21846457890102,6.163787693599212
COP,EOG,5.441345,0.9891,10,34.95478427977789,8.858855287154695,40.148658222622345,11.86077715302236
DHI,LEN,5.789179,0.9884,11,55.83202064604986,11.825777287505971,57.39217043679858,11.657855092068452
CDNS,SNPS,6.313558,0.9873,12,89.23793638320197,18.41758913098543,176.5235717107379,34.282141471800074
JPM,PNC,6.487444,0.987,13,92.39020756312779,14.33647249202899,96.96979698302253,16.76639661048748
HP,OXY,6.691438,0.9866,14,18.632203756816804,8.073643394792324,19.101395701605178,10.80932444604181
KEY,PNC,7.06194,0.9858,15,10.578475815909249,2.4574642543244822,96.96979698302253,16.76639661048748
AIV,AVB,7.142583,0.9857,16,1.9949369856289454,0.3445754880864297,140.8060732341948,21.277564013195565
KSS,SPG,7.22174,0.9855,17,19.984110737603807,8.016973639319223,61.797356317913724,24.022243809131933
RF,TFC,7.244644,0.9855,18,9.961273267155601,2.040513716424361,32.21846457890102,6.163787693599212
FHN,JPM,7.268062,0.9854,19,9.132783297508482,2.3521443496999823,92.39020756312779,14.33647249202899
SLG,SPG,7.709517,0.9845,20,41.01111428699796,12.38588099072861,61.797356317913724,24.022243809131933
