Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
CMS,XEL,0.027035,1,0.9895,1.0312
CMS,KIM,0.074154,2,0.9707,0.9565
CMS,DTE,0.074207,3,0.9878,0.8742
KIM,XEL,0.083538,4,0.9672,1.0235
CNP,PNW,0.087723,5,0.8905,0.9538
PG,WMT,0.089943,6,0.8006,0.9134
EVRG,NEE,0.091917,7,0.9776,0.9492
EVRG,SRE,0.095059,8,0.9776,1.07
IEX,PPG,0.102996,9,0.9712,0.9126
DTE,XEL,0.105927,10,0.9799,1.1543
SLG,SPG,0.105963,11,0.9885,1.0636
AIV,CPT,0.107466,12,0.987,1.1079
GE,UPS,0.108418,13,0.9218,0.8191
PCG,PPL,0.108432,14,0.9592,0.9493
ES,WEC,0.109764,15,0.961,0.8046
ES,XEL,0.113954,16,0.9568,0.809
PLD,PSA,0.117116,17,0.9376,0.8207
EVRG,WFC,0.117701,18,0.9761,0.8963
LNT,SRE,0.121347,19,0.9648,0.9783
CB,EG,0.125828,20,0.9333,0.8722
