Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
AEP,XEL,0.016448,1,0.9926
CPT,MAA,0.038639,2,0.9836
AEP,DUK,0.050929,3,0.9894
DTE,WEC,0.058935,4,0.9757
WEC,XEL,0.070002,5,0.9883
DUK,PNW,0.073381,6,0.9631
AIV,AVB,0.074208,7,0.9741
DUK,XEL,0.079621,8,0.979
EQR,UDR,0.087377,9,0.9714
AEP,WEC,0.090022,10,0.9836
DTE,XEL,0.095754,11,0.9739
ETR,LNT,0.100957,12,0.9409
DUK,ES,0.105884,13,0.9496
AEP,DTE,0.107374,14,0.9707
AEP,PNW,0.118062,15,0.9622
ATO,EVRG,0.119815,16,0.9671
AIV,UDR,0.127901,17,0.9852
ES,XEL,0.128831,18,0.9633
AEP,ES,0.130651,19,0.9588
CMS,ETR,0.130687,20,0.9689
