Ticker_A,Ticker_B,SSD,Hedge_Ratio,Rank,Mean_A,Std_A,Mean_B,Std_B
DHR,TMO,4.046335,0.9919,1,165.88698202466207,29.04171496911332,392.13702319917223,68.9584247298294
CDNS,SNPS,4.929086,0.9901,2,99.1310710301475,21.624694596317113,194.88039691864498,40.48594192237532
FHN,KEY,5.071951,0.9898,3,8.864171344136436,1.9785495681626952,10.344865132891943,2.137260925138721
FITB,RF,5.210736,0.9896,4,18.042569694064913,3.958140421191599,10.065307762887743,2.2170489789519623
DHI,LEN,5.66092,0.9887,5,58.551180862245104,12.478885751531458,60.11739910973443,12.366018865899065
CMA,HBAN,5.858709,0.9883,6,33.58028100785755,8.114474666086517,8.123523155848185,1.650964889171599
DE,PWR,6.355135,0.9873,7,182.72920175582644,49.24443643342237,48.64525339338515,14.880775721918187
NUE,STLD,6.38094,0.9872,8,41.23552478305877,6.210570592848188,26.766479984162345,5.198873276199671
AME,PH,6.387853,0.9872,9,93.98611304873512,14.729393595872395,188.48419116792223,44.32432368727117
EMR,ITT,6.775573,0.9864,10,58.755540257408505,9.557635862516381,58.29453839196099,9.76283358274012
AME,APH,6.809987,0.9863,11,93.98611304873512,14.729393595872395,25.032625970386324,4.239912010206244
AME,CSX,6.873149,0.9862,12,93.98611304873512,14.729393595872395,23.318843126296997,3.414741283115204
KLAC,TER,6.932004,0.9861,13,188.24979070633177,41.149727365502926,82.59961645943778,22.356726229429796
MTD,QCOM,7.028571,0.9859,14,912.2365075974237,179.7699685602377,95.37187520284502,26.925339806042604
CSX,PH,7.273669,0.9854,15,23.318843126296997,3.414741283115204,188.48419116792223,44.32432368727117
A,RVTY,7.312772,0.9853,16,91.95945212954567,15.6924268008383,109.99307762630401,23.001891839394435
PWR,QCOM,7.314311,0.9853,17,48.64525339338515,14.880775721918187,95.37187520284502,26.925339806042604
TRMB,URI,7.332225,0.9853,18,47.64912710492573,11.621782323739593,162.11009446401445,45.96513432571528
ETN,HUBB,7.893873,0.9841,19,89.62334345257472,14.449532188593103,125.58215207902212,16.094378949446956
TXN,URI,7.986517,0.984,20,116.36464890979585,18.345659162589783,162.11009446401445,45.96513432571528
