Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
EVRG,LNT,0.067955,1,0.9846
EIX,XEL,0.077173,2,0.9844
ES,XEL,0.085627,3,0.9828
FRT,SPG,0.092285,4,0.9846
LNT,XEL,0.094665,5,0.977
SLG,VNO,0.100232,6,0.9834
ACGL,MKC,0.1036,7,0.8874
CINF,HON,0.104152,8,0.9333
AEP,LNT,0.105802,9,0.9843
AIV,AVB,0.106979,10,0.9897
AVB,UDR,0.107835,11,0.9858
CB,EG,0.108889,12,0.933
CINF,PGR,0.111677,13,0.928
CB,MRSH,0.114096,14,0.9665
AVB,REG,0.117836,15,0.9866
HON,OMC,0.119749,16,0.9387
FRT,O,0.120574,17,0.9777
EIX,ES,0.124008,18,0.9693
ARE,EQR,0.124325,19,0.9872
FRT,SLG,0.130425,20,0.9743
