Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
DUK,EIX,0.132934,1,0.9853,0.9026
CMS,FE,0.138941,2,0.9844,1.064
PCG,SRE,0.148858,3,0.9431,0.908
CPT,EQR,0.156555,4,0.9857,1.0952
EQR,UDR,0.156859,5,0.9859,0.999
AVB,EQR,0.168519,6,0.9906,0.9667
KO,PPL,0.16921,7,0.9739,0.8894
ATO,LNT,0.175273,8,0.9621,0.8832
HON,ROP,0.197156,9,0.8348,1.0497
ATO,ED,0.201372,10,0.9435,1.0927
DHR,TMO,0.201963,11,0.9641,1.0292
ITW,SNA,0.206404,12,0.8568,0.9231
CMS,DTE,0.209104,13,0.9766,0.9861
ATO,EVRG,0.209428,14,0.963,0.8634
ETR,PPL,0.213691,15,0.9846,1.0682
AVB,CPT,0.224511,16,0.9881,0.8686
PNC,TFC,0.227851,17,0.9866,1.0085
EVRG,SRE,0.228154,18,0.9577,1.194
AEP,PPL,0.236296,19,0.9791,1.1432
CPB,FRT,0.240365,20,0.942,0.9001
