Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
PNW,WEC,0.079747,1,0.9232
CMS,EVRG,0.086634,2,0.9309
DTE,PNW,0.091908,3,0.949
DUK,SO,0.092116,4,0.9524
WEC,XEL,0.093475,5,0.9182
DUK,WEC,0.095701,6,0.921
PNW,XEL,0.115124,7,0.9192
EVRG,LNT,0.124578,8,0.922
CL,ED,0.126817,9,0.9519
AVB,EQR,0.128087,10,0.9814
DUK,PNW,0.130162,11,0.8792
DUK,XEL,0.133615,12,0.9295
AEP,JNJ,0.145195,13,0.8604
AVB,ESS,0.150926,14,0.9842
RSG,SRE,0.152341,15,0.85
AEE,AEP,0.153959,16,0.838
ADP,IFF,0.160731,17,0.9685
CMS,PNW,0.160891,18,0.9008
BXP,EQR,0.163911,19,0.9734
CMS,LNT,0.165262,20,0.9006
