Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
CB,EG,0.045503,1,0.9717,0.9144
AEP,CMS,0.051515,2,0.9861,1.0342
SLG,VNO,0.059192,3,0.9874,1.0429
FRT,SPG,0.084897,4,0.9805,1.0236
KIM,LNT,0.089044,5,0.9699,0.9629
LNT,XEL,0.093553,6,0.9763,1.0606
CMS,PCG,0.093731,7,0.9718,0.9552
CMS,DTE,0.094112,8,0.9769,0.9315
AME,LIN,0.099531,9,0.7877,0.9787
DUK,ED,0.100473,10,0.9793,1.0081
AEP,PCG,0.103092,11,0.9708,1.0002
LNT,PPL,0.104342,12,0.9716,1.0325
AFL,L,0.107379,13,0.8387,0.8262
CL,MKC,0.109186,14,0.856,0.8728
DUK,PNW,0.11282,15,0.9513,0.9959
CPT,FRT,0.119285,16,0.9767,1.073
AEP,DTE,0.121845,17,0.9727,0.9716
AVB,ESS,0.122245,18,0.9844,0.9585
KIM,XEL,0.1253,19,0.9676,1.0443
ALL,BRK-B,0.127297,20,0.9793,0.9645
