Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
AJG,AON,0.071297,1,0.9826,0.946
AVB,CPT,0.072806,2,0.9778,0.7928
CMS,LNT,0.078285,3,0.9815,0.9385
AIV,UDR,0.080243,4,0.9165,0.8371
AEE,DTE,0.085238,5,0.9367,1.1649
CMS,XEL,0.090197,6,0.9839,1.0409
EQR,ESS,0.096654,7,0.967,1.0595
ES,LNT,0.103084,8,0.982,1.0972
AON,NDAQ,0.111661,9,0.9766,0.8942
NEE,SO,0.113373,10,0.9916,1.0377
CMS,ES,0.11339,11,0.9854,0.8428
AEP,CMS,0.123295,12,0.9674,0.8661
KMB,WM,0.123669,13,0.9632,1.0229
AEP,LNT,0.132333,14,0.9785,0.8343
HBAN,TFC,0.137235,15,0.946,0.8412
AEP,XEL,0.13875,16,0.9742,0.9225
SLG,VNO,0.143657,17,0.9267,1.3384
FE,LNT,0.14432,18,0.9742,1.0301
AJG,NDAQ,0.145983,19,0.9727,0.8589
ALL,LNT,0.154831,20,0.9616,0.9426
