Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
EVRG,PPL,0.086102,1,0.9865,1.0126
EQR,UDR,0.129677,2,0.9805,0.8814
MRSH,ROL,0.154737,3,0.884,0.9088
AEP,DUK,0.159828,4,0.9633,0.999
CPT,ESS,0.166757,5,0.9703,0.9927
ATO,WEC,0.170394,6,0.9767,0.9363
AVB,UDR,0.171035,7,0.9745,1.0308
LNT,PPL,0.175467,8,0.9766,1.0208
CAG,GIS,0.18882,9,0.9266,0.9719
LOW,MAS,0.191912,10,0.9317,0.9966
D,DUK,0.210304,11,0.9489,0.8806
PNC,RF,0.221434,12,0.9899,0.9936
EVRG,LNT,0.22496,13,0.9665,0.9514
ADP,PAYX,0.227484,14,0.9849,1.0784
BRK-B,RSG,0.229015,15,0.9257,0.9074
DGX,EVRG,0.231637,16,0.9649,0.8563
AME,ROK,0.237821,17,0.8203,0.9501
MRSH,PG,0.241364,18,0.836,1.2006
HD,LOW,0.244563,19,0.9317,1.0675
PTC,TROW,0.245807,20,0.8445,0.8741
