Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
PNW,WEC,0.093161,1,0.9636
CMS,XEL,0.095604,2,0.9681
ITW,MMM,0.10991,3,0.9655
ES,LNT,0.114914,4,0.9326
CINF,LMT,0.115078,5,0.9343
BRK-B,CB,0.117804,6,0.8805
EIX,ES,0.119702,7,0.9468
GS,TFC,0.122695,8,0.9482
AEP,ES,0.122793,9,0.9481
LMT,TJX,0.122927,10,0.9194
A,IVZ,0.124812,11,0.9466
AJG,STT,0.1249,12,0.8868
AEP,EIX,0.128078,13,0.9009
BXP,SLG,0.132729,14,0.9775
CB,CL,0.135374,15,0.8537
USB,WFC,0.135556,16,0.8786
MET,RF,0.137302,17,0.9198
AVB,EQR,0.138771,18,0.9304
EQR,REG,0.138776,19,0.9289
BXP,VNO,0.139043,20,0.9657
