Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
ES,EVRG,0.108119,1,0.9699
EVRG,WEC,0.11403,2,0.9709
ES,WEC,0.140937,3,0.9627
ADP,CL,0.156594,4,0.8757
JNJ,WMT,0.168149,5,0.8367
SO,XEL,0.169443,6,0.9116
IEX,RTX,0.172263,7,0.9379
ATO,T,0.182487,8,0.7413
CSX,NSC,0.183976,9,0.9721
DUK,PCG,0.204748,10,0.9068
CNP,PNW,0.21172,11,0.9517
PPG,ROP,0.214051,12,0.9589
AEP,XEL,0.21752,13,0.9226
FRT,MAA,0.21939,14,0.9702
EXC,FE,0.222551,15,0.9377
EIX,ETR,0.22959,16,0.8472
ACGL,ED,0.230326,17,0.887
PCG,XEL,0.231946,18,0.8692
MMM,WM,0.233848,19,0.9033
CINF,VFC,0.239604,20,0.8902
