Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
AEP,XEL,0.037103,1,0.9717,0.9443
CMS,DTE,0.04621,2,0.9601,1.1571
AEP,ED,0.046596,3,0.965,0.9997
DTE,ES,0.056341,4,0.9106,0.9334
DTE,ED,0.063128,5,0.9691,0.7802
ED,XEL,0.066916,6,0.9658,0.9049
AIV,O,0.079046,7,0.9279,0.9312
EQR,UDR,0.082725,8,0.9539,1.1138
AIV,UDR,0.082874,9,0.9186,0.9427
AEP,LNT,0.083069,10,0.9246,0.9369
AEP,WEC,0.084966,11,0.9262,1.0253
CMS,DUK,0.0911,12,0.9401,0.8006
ATO,LNT,0.091264,13,0.9206,0.7775
LNT,WEC,0.092619,14,0.926,1.0142
CMA,RF,0.092817,15,0.9928,1.0201
CMS,ED,0.093307,16,0.9442,0.9161
LNT,XEL,0.101567,17,0.9216,0.8846
WEC,XEL,0.106218,18,0.9029,0.7858
PNW,UDR,0.106554,19,0.9163,1.0567
NI,XEL,0.108163,20,0.9236,1.0331
