Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
WEC,XEL,0.025538,1,0.9967,0.9528
AEP,XEL,0.029939,2,0.9963,0.9785
AEP,WEC,0.038046,3,0.9932,1.0199
CMS,FE,0.054362,4,0.9839,0.9695
AVB,EQR,0.055595,5,0.9899,0.9069
AEE,DTE,0.06231,6,0.9878,1.0613
AIV,EQR,0.068795,7,0.9836,1.0299
MTB,TFC,0.074556,8,0.9456,1.0812
CPT,MAA,0.08068,9,0.9734,0.8853
AIV,ESS,0.095082,10,0.9842,0.8862
ATO,LNT,0.111331,11,0.9758,0.8766
ES,XEL,0.1256,12,0.9864,0.9136
AEE,WEC,0.129545,13,0.9894,0.8435
GL,USB,0.132136,14,0.8684,0.9504
ATO,D,0.137405,15,0.9255,0.9989
CMS,NEE,0.138545,16,0.9864,0.9708
AEP,ETR,0.138547,17,0.9905,1.0611
CPT,LNT,0.13864,18,0.9356,0.9925
AIV,AVB,0.138849,19,0.9762,1.1141
AVB,RSG,0.142329,20,0.9533,0.9409
