Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
ES,EVRG,0.088001,1,0.986
PCG,XEL,0.185152,2,0.9522
ADP,PAYX,0.18882,3,0.9691
AEE,EIX,0.192554,4,0.9408
WEC,XEL,0.217633,5,0.971
MO,WM,0.227472,6,0.9643
CNP,PNW,0.228975,7,0.9882
DGX,LH,0.23863,8,0.9338
EIX,PCG,0.257684,9,0.9258
MKC,PG,0.260161,10,0.9568
CLX,XEL,0.274565,11,0.9407
EVRG,ORCL,0.27861,12,0.954
BMY,CMS,0.280129,13,0.9722
IBM,JNJ,0.288165,14,0.9554
ES,ORCL,0.300987,15,0.9496
MKC,MO,0.312917,16,0.9495
D,MKC,0.317185,17,0.9666
ADP,ROP,0.318762,18,0.9343
D,WM,0.320294,19,0.9609
ERIE,XEL,0.320474,20,0.9093
