Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
ES,WEC,0.04985,1,0.9873
AEP,LNT,0.053219,2,0.9795
ATO,NEE,0.065865,3,0.9637
AIV,AVB,0.073407,4,0.9796
FITB,RF,0.080497,5,0.9387
FRT,SPG,0.085547,6,0.9747
AEE,LNT,0.090683,7,0.9582
AEE,AEP,0.093536,8,0.9582
ES,XEL,0.096691,9,0.9759
EQR,REG,0.097287,10,0.9808
O,VNO,0.097332,11,0.9739
AVB,EQR,0.100812,12,0.986
AME,GL,0.104393,13,0.8618
EG,PGR,0.106316,14,0.9443
FRT,SLG,0.107097,15,0.9716
KIM,VNO,0.110641,16,0.9665
KIM,O,0.110691,17,0.9688
AME,NDSN,0.110914,18,0.8549
MET,RF,0.114673,19,0.9076
EIX,ES,0.115773,20,0.9734
