Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
DUK,ED,0.05862,1,0.9834,0.8459
ED,EVRG,0.076392,2,0.9762,0.8904
PNW,XEL,0.082712,3,0.9752,1.1025
EVRG,LNT,0.084537,4,0.9722,0.9598
ED,XEL,0.11719,5,0.9827,1.0056
O,XEL,0.129562,6,0.9447,0.8633
D,KMB,0.13463,7,0.9016,1.1991
HSIC,TECH,0.136756,8,0.965,1.0852
ED,LNT,0.140258,9,0.955,0.8606
LLY,PEP,0.142608,10,0.7337,1.0389
SO,WEC,0.147636,11,0.9853,0.8172
DUK,EVRG,0.151944,12,0.9645,0.7567
CINF,GL,0.162183,13,0.9751,0.9321
CLX,KMB,0.164254,14,0.8113,0.8412
ADP,RTX,0.171589,15,0.9631,1.0047
ED,PNW,0.173231,16,0.9815,0.8892
EQR,UDR,0.173598,17,0.9741,1.0819
BXP,PSA,0.1765,18,0.9761,1.1198
DUK,XEL,0.176862,19,0.9683,0.8512
GL,IFF,0.176879,20,0.9751,0.872
