Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
EVRG,PPL,0.095526,1,0.9864,1.0422
PNC,RF,0.141915,2,0.9911,0.9681
CMS,DTE,0.143762,3,0.9759,1.0553
CAG,GIS,0.160075,4,0.9362,0.9306
EQR,UDR,0.163991,5,0.9572,0.8518
CMS,DUK,0.187711,6,0.96,1.0282
MRSH,ROL,0.188148,7,0.89,0.8649
AVB,UDR,0.189653,8,0.9402,0.9674
CPT,ESS,0.190926,9,0.959,0.9963
ATO,XEL,0.191819,10,0.9787,0.9111
AEP,DUK,0.201051,11,0.959,1.0237
AVB,EQR,0.202027,12,0.9634,1.1136
LNT,PNW,0.204818,13,0.9724,1.0421
EVRG,WEC,0.207347,14,0.9809,0.8551
ATO,WEC,0.22231,15,0.9765,0.9119
ATO,PPL,0.22268,16,0.9769,1.1009
PNW,PPL,0.229917,17,0.9606,0.9055
ATO,EVRG,0.232374,18,0.973,1.0417
PTC,TROW,0.237962,19,0.9067,0.8712
DOV,ITT,0.240243,20,0.9153,0.7744
