Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
WEC,XEL,0.02699,1,0.9965
AEP,XEL,0.030959,2,0.9963
AIV,UDR,0.046334,3,0.9903
AEE,CMS,0.053657,4,0.9914
AEP,WEC,0.057941,5,0.9928
AEE,DTE,0.088682,6,0.9877
AVB,UDR,0.095114,7,0.9804
LNT,NEE,0.112648,8,0.9738
GL,JPM,0.116111,9,0.9035
CMS,DTE,0.12463,10,0.9873
AIV,AVB,0.124769,11,0.977
IP,PKG,0.12623,12,0.9728
ETR,NEE,0.132519,13,0.9863
ARE,PLD,0.13787,14,0.9552
EQR,ESS,0.138724,15,0.9751
ETR,EXC,0.13933,16,0.9745
ETR,FE,0.145891,17,0.9779
CB,FIS,0.147586,18,0.8777
EXC,NEE,0.153245,19,0.9547
CPT,FISV,0.154538,20,0.9249
