Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
AEP,CMS,0.056717,1,0.9862
DUK,ED,0.068235,2,0.9869
BXP,KIM,0.070903,3,0.9782
LNT,XEL,0.080134,4,0.9807
AEP,LNT,0.08395,5,0.9827
CMS,XEL,0.084554,6,0.9921
CMS,LNT,0.087101,7,0.983
ITW,MMM,0.099271,8,0.9766
CMS,PCG,0.100434,9,0.977
JKHY,TT,0.101494,10,0.8887
AME,LIN,0.1047,11,0.7937
BLK,HIG,0.106219,12,0.9616
KIM,LNT,0.109636,13,0.9718
KIM,XEL,0.113943,14,0.9654
ES,SO,0.115444,15,0.9657
CB,PG,0.115494,16,0.9433
CMS,DTE,0.116574,17,0.9764
ALL,BRK-B,0.116802,18,0.9799
AVB,UDR,0.119155,19,0.9856
BXP,PSA,0.119248,20,0.9696
