Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
ED,XEL,0.066699,1,0.9739,0.9728
ES,EVRG,0.119837,2,0.9728,1.0106
EVRG,WEC,0.155319,3,0.9713,0.8912
ATO,ETR,0.169429,4,0.6929,0.6934
ES,WEC,0.1705,5,0.9685,0.9206
ES,NI,0.179069,6,0.9797,0.9021
CNP,PNW,0.18966,7,0.9527,0.8694
ATO,EIX,0.191827,8,0.7244,0.7316
ES,PNW,0.192205,9,0.9768,1.0544
FRT,MAA,0.193879,10,0.9736,0.9694
EIX,KO,0.19462,11,0.7601,0.5922
CLX,CPB,0.194759,12,0.9039,0.8352
KO,T,0.198188,13,0.8439,0.6844
EVRG,NI,0.198464,14,0.9727,0.8646
DUK,ED,0.206541,15,0.9386,0.7349
EIX,ETR,0.207832,16,0.8113,0.8059
SPG,VNO,0.209653,17,0.9851,0.906
NI,PNW,0.210846,18,0.9659,1.1345
ACGL,XEL,0.216422,19,0.92,0.8136
AEE,PCG,0.217253,20,0.8899,1.1054
