Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
AIV,AVB,0.034707,1,0.9718
AEP,DTE,0.054516,2,0.9454
EQR,UDR,0.059989,3,0.9591
DUK,XEL,0.065172,4,0.967
AEP,XEL,0.0725,5,0.9818
AEP,ED,0.072659,6,0.9395
ED,XEL,0.076826,7,0.9429
VTR,WELL,0.07741,8,0.979
EVRG,EXC,0.079856,9,0.9631
LNT,WEC,0.082887,10,0.9083
DUK,PNW,0.087212,11,0.9656
DTE,ES,0.095316,12,0.9175
DTE,XEL,0.100991,13,0.9464
CMS,DTE,0.10313,14,0.9118
FRT,REG,0.103407,15,0.9402
AEP,CMS,0.106625,16,0.9063
BXP,SLG,0.114359,17,0.8603
CPT,UDR,0.115134,18,0.964
FRT,UDR,0.116062,19,0.8976
AEE,ATO,0.122143,20,0.9138
