Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
ED,XEL,0.082072,1,0.9841
ED,LNT,0.11225,2,0.9602
DUK,PNW,0.122042,3,0.9665
LLY,PEP,0.126532,4,0.7331
EMR,IEX,0.126653,5,0.9892
AEP,SRE,0.12895,6,0.9157
CLX,KMB,0.133669,7,0.8162
AEE,CNP,0.136167,8,0.9725
PCG,XEL,0.139727,9,0.947
CNP,XEL,0.140509,10,0.9773
CVG,MDLZ,0.141498,11,0.8554
D,FRT,0.144858,12,0.9241
ADP,RTX,0.145139,13,0.9575
DTE,PEG,0.147006,14,0.821
AJG,JKHY,0.147701,15,0.9802
LNT,XEL,0.152112,16,0.9526
DIS,WTW,0.154719,17,0.9617
BMY,SRE,0.157358,18,0.8906
PG,WMT,0.16212,19,0.7581
EVRG,WEC,0.162201,20,0.9603
