Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
CMS,DTE,0.077202,1,0.9669,0.871
EQR,UDR,0.084119,2,0.9694,1.0028
CMS,FE,0.09129,3,0.9765,0.9934
FE,PPL,0.123455,4,0.9755,0.7703
CPT,EQR,0.136593,5,0.9677,1.0245
CPT,UDR,0.147069,6,0.9714,1.0661
CPB,KO,0.151183,7,0.9149,0.8823
PNC,TFC,0.154731,8,0.989,0.9293
DUK,PPL,0.161242,9,0.9572,0.9787
AEE,EXC,0.161272,10,0.8431,0.7954
CMS,ED,0.164194,11,0.9257,1.276
MCD,MDLZ,0.165376,12,0.8775,1.0978
ATO,LNT,0.166171,13,0.8664,0.8327
AEP,PPL,0.17659,14,0.9638,1.1245
RSG,WM,0.180086,15,0.9826,0.9291
ED,SRE,0.181114,16,0.8532,0.7334
DTE,EIX,0.181841,17,0.9397,0.8482
CPT,MAA,0.185575,18,0.9701,1.3092
CMS,PPL,0.198426,19,0.979,0.788
LNT,PNW,0.200083,20,0.9014,0.6661
