Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
CMS,XEL,0.027146,1,0.9895
CNP,PNW,0.080739,2,0.8907
PG,WMT,0.087118,3,0.803
SLG,SPG,0.090641,4,0.9893
EVRG,NEE,0.095432,5,0.9777
CMS,KIM,0.095599,6,0.9707
CMS,DTE,0.098703,7,0.9878
CB,EG,0.101386,8,0.9344
KIM,XEL,0.106171,9,0.9673
DOC,WELL,0.106448,10,0.9672
GE,UPS,0.10796,11,0.9241
FRT,SPG,0.11124,12,0.9777
PCG,PPL,0.111638,13,0.9594
ES,WEC,0.111933,14,0.9613
ES,XEL,0.112127,15,0.957
AIV,CPT,0.117937,16,0.9869
EVRG,SRE,0.121941,17,0.9786
GL,LIN,0.123093,18,0.9218
ACGL,WMT,0.12638,19,0.6924
DTE,KIM,0.129136,20,0.963
