Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
WEC,XEL,0.026007,1,0.9965,0.9566
AEP,XEL,0.029037,2,0.9963,0.9794
AIV,UDR,0.042756,3,0.9903,0.9962
AEP,WEC,0.050283,4,0.9928,1.0164
AEE,CMS,0.067041,5,0.9913,1.0751
AEE,DTE,0.071431,6,0.9877,1.0225
AVB,UDR,0.097307,7,0.9802,0.8614
ATO,LNT,0.105514,8,0.975,0.8971
LNT,NEE,0.109367,9,0.9739,0.8282
GL,JPM,0.12366,10,0.903,0.7721
CMS,DTE,0.125112,11,0.987,0.9423
EQR,ESS,0.125441,12,0.9754,0.8593
ETR,EXC,0.126075,13,0.9736,1.0831
ETR,NEE,0.127556,14,0.9864,1.1637
AIV,AVB,0.127953,15,0.977,1.1185
AEE,WEC,0.134283,16,0.99,0.8855
AEE,AEP,0.147663,17,0.9857,0.8603
ARE,PLD,0.149879,18,0.9561,0.9708
CB,FIS,0.155144,19,0.8807,0.8965
CPT,FISV,0.156747,20,0.9258,0.8571
