Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
CMS,WEC,0.035518,1,0.9819
DTE,WEC,0.048539,2,0.9799
ES,PNW,0.051818,3,0.9736
CMS,DTE,0.066502,4,0.9762
ES,XEL,0.068181,5,0.9645
EVRG,WEC,0.0796,6,0.9744
DTE,EVRG,0.087106,7,0.9569
CMS,EVRG,0.093717,8,0.9775
PNW,XEL,0.097501,9,0.9603
MRSH,PAYX,0.098119,10,0.9858
DTE,PEG,0.098415,11,0.9541
DUK,ES,0.114484,12,0.9066
ITW,SNA,0.124187,13,0.9873
CLX,PG,0.13591,14,0.9483
MKC,SYY,0.139222,15,0.8994
PEG,WEC,0.140478,16,0.9466
KO,SYY,0.144775,17,0.9036
DTE,LNT,0.145993,18,0.9567
CMS,ES,0.146762,19,0.9717
T,XEL,0.14796,20,0.9145
