Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
D,WEC,0.091409,1,0.945,0.7555
WEC,XEL,0.09837,2,0.9363,0.9509
D,XEL,0.113577,3,0.91,0.7385
CPT,MAA,0.11858,4,0.9965,0.9992
AEE,LNT,0.167254,5,0.9721,0.787
CHD,KMB,0.189889,6,0.7355,0.6963
DTE,NI,0.199513,7,0.9439,1.053
KO,PEP,0.199586,8,0.9112,0.9107
CAG,GIS,0.203556,9,0.7756,0.9148
ACGL,EG,0.211707,10,0.9744,1.0266
DTE,ITW,0.219437,11,0.9504,1.0548
MCD,MDLZ,0.221905,12,0.8793,0.8014
CMS,PG,0.22277,13,0.8028,1.0613
FDS,JKHY,0.229019,14,0.8407,0.8907
NI,SRE,0.241004,15,0.9293,1.1598
ATO,GIS,0.260235,16,0.7561,0.9923
AEE,MCD,0.264751,17,0.8819,1.0619
CMS,XEL,0.276352,18,0.9307,0.8885
BRO,RSG,0.279893,19,0.9615,0.8104
JKHY,PG,0.285613,20,0.7542,1.0043
