Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
EVRG,SO,0.07515,1,0.983
SO,WEC,0.103209,2,0.9871
EIX,IBM,0.103268,3,0.9454
AEP,DUK,0.106324,4,0.934
AEE,T,0.11479,5,0.9633
ADP,RTX,0.123989,6,0.9265
JNJ,WMT,0.124182,7,0.8519
DUK,ED,0.133507,8,0.9783
NI,PNW,0.13572,9,0.9623
MMM,WM,0.139552,10,0.8802
CLX,CPB,0.139945,11,0.8268
PNW,XEL,0.143581,12,0.9756
EVRG,WEC,0.146383,13,0.9755
ED,XEL,0.152656,14,0.9801
BXP,PSA,0.153105,15,0.9782
FISV,SNPS,0.154327,16,0.951
DUK,PCG,0.157305,17,0.9445
ATO,EIX,0.165279,18,0.9208
CNP,ED,0.168973,19,0.9502
CLX,PEP,0.173436,20,0.7892
