Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
DOC,VTR,0.065798,1,0.9878
D,XEL,0.070054,2,0.9115
PEG,XEL,0.074056,3,0.9034
ESS,MAA,0.075286,4,0.9536
ED,SO,0.076987,5,0.9496
D,LNT,0.082091,6,0.8615
ADP,MMM,0.096189,7,0.9279
ATO,PNW,0.106928,8,0.9726
AVB,EQR,0.111751,9,0.8877
LNT,XEL,0.120398,10,0.8418
D,PEG,0.123969,11,0.8413
AEE,SO,0.130265,12,0.8595
JKHY,TFX,0.131019,13,0.9641
ADP,PAYX,0.13182,14,0.898
CLX,JNJ,0.131953,15,0.9233
CL,NEE,0.135878,16,0.9558
D,EVRG,0.135912,17,0.9147
KMB,NEE,0.139059,18,0.9752
DTE,ES,0.141695,19,0.9637
PPL,XOM,0.149091,20,0.8523
