Date,Pair_Rank,Ticker_A,Ticker_B,Price_A,Price_B,ZScore,Position,Unrealized_PnL,Realized_PnL,Cumulative_PnL,Status
2012-02-02,1,ED,SO,34.4674,24.3216,0.0,0,0.0,0.0,0.0,HOLD_CASH
2012-02-03,1,ED,SO,34.4381,24.3326,0.0,0,0.0,0.0,0.0,HOLD_CASH
2012-02-06,1,ED,SO,34.4264,24.2777,0.0,0,0.0,0.0,0.0,HOLD_CASH
2012-02-07,1,ED,SO,34.6196,24.437,0.0,0,0.0,0.0,0.0,HOLD_CASH
2012-02-08,1,ED,SO,34.7718,24.5029,0.0,0,0.0,0.0,0.0,HOLD_CASH
2012-02-09,1,ED,SO,34.8186,24.5413,0.0,0,0.0,0.0,0.0,HOLD_CASH
2012-02-10,1,ED,SO,34.6196,24.5029,0.0,0,0.0,0.0,0.0,HOLD_CASH
2012-02-13,1,ED,SO,34.2558,24.3985,0.0,0,0.0,0.0,0.0,HOLD_CASH
2012-02-14,1,ED,SO,34.2913,24.4645,0.0,0,0.0,0.0,0.0,HOLD_CASH
2012-02-15,1,ED,SO,34.102,24.2777,0.0,0,0.0,0.0,0.0,HOLD_CASH
2012-02-16,1,ED,SO,34.2499,24.3985,0.0,0,0.0,0.0,0.0,HOLD_CASH
2012-02-17,1,ED,SO,34.2321,24.3766,0.0,0,0.0,0.0,0.0,HOLD_CASH
2012-02-21,1,ED,SO,34.2262,24.2008,0.0,0,0.0,0.0,0.0,HOLD_CASH
2012-02-22,1,ED,SO,34.2262,24.2667,0.0,0,0.0,0.0,0.0,HOLD_CASH
2012-02-23,1,ED,SO,34.2853,24.2997,0.0,0,0.0,0.0,0.0,HOLD_CASH
2012-02-24,1,ED,SO,34.8059,24.4645,0.0,0,0.0,0.0,0.0,HOLD_CASH
2012-02-27,1,ED,SO,34.5634,24.404,0.0,0,0.0,0.0,0.0,HOLD_CASH
2012-02-28,1,ED,SO,34.3741,24.3546,0.0,0,0.0,0.0,0.0,HOLD_CASH
2012-02-29,1,ED,SO,34.3682,24.2722,0.0,0,0.0,0.0,0.0,HOLD_CASH
2012-03-01,1,ED,SO,34.4806,24.3711,0.3569,0,0.0,0.0,0.0,HOLD_CASH
2012-03-02,1,ED,SO,34.4924,24.3162,0.9406,0,0.0,0.0,0.0,HOLD_CASH
2012-03-05,1,ED,SO,34.5397,24.2777,1.4711,0,0.0,0.0,0.0,HOLD_CASH
2012-03-06,1,ED,SO,34.5161,24.5249,-0.7922,0,0.0,0.0,0.0,HOLD_CASH
2012-03-07,1,ED,SO,34.3977,24.5139,-1.2869,0,0.0,0.0,0.0,HOLD_CASH
2012-03-08,1,ED,SO,34.4983,24.5908,-1.2005,0,0.0,0.0,0.0,HOLD_CASH
2012-03-09,1,ED,SO,34.5397,24.7775,-2.104,1,0.0,-0.5,-0.5,ENTER_LONG_A
2012-03-12,1,ED,SO,35.0248,24.9313,-0.6015,1,1.9592,-0.5,1.4592,HOLDING
2012-03-13,1,ED,SO,35.1372,24.9423,-0.1223,1,2.6617,-0.5,2.1617,HOLDING
2012-03-14,1,ED,SO,34.658,24.6347,-0.4168,1,2.2972,-0.5,1.7972,HOLDING
2012-03-15,1,ED,SO,34.3563,24.6457,-1.9181,1,0.0028,-0.5,-0.4972,HOLDING
2012-03-16,1,ED,SO,34.0842,24.3546,-1.173,1,0.9706,-0.5,0.4706,HOLDING
2012-03-19,1,ED,SO,33.9659,24.1843,-0.5711,1,1.8323,-0.5,1.3323,HOLDING
