Date,Pair_Rank,Ticker_A,Ticker_B,Price_A,Price_B,ZScore,Position,Unrealized_PnL,Realized_PnL,Cumulative_PnL,Status
2010-02-03,1,ES,WEC,14.7998,14.4009,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-02-04,1,ES,WEC,14.389,14.1397,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-02-05,1,ES,WEC,14.3434,14.2806,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-02-08,1,ES,WEC,14.138,14.1192,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-02-09,1,ES,WEC,14.2863,14.1163,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-02-10,1,ES,WEC,14.2578,14.1281,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-02-11,1,ES,WEC,14.389,14.2849,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-02-12,1,ES,WEC,14.3377,14.1666,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-02-16,1,ES,WEC,14.7142,14.4388,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-02-17,1,ES,WEC,14.7485,14.4004,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-02-18,1,ES,WEC,14.9139,14.4714,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-02-19,1,ES,WEC,15.2163,14.7377,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-02-22,1,ES,WEC,15.222,14.6963,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-02-23,1,ES,WEC,15.0223,14.5306,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-02-24,1,ES,WEC,14.9824,14.4655,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-02-25,1,ES,WEC,14.7323,14.3974,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-02-26,1,ES,WEC,14.7496,14.3323,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-03-01,1,ES,WEC,15.0435,14.5927,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-03-02,1,ES,WEC,15.1126,14.7762,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-03-03,1,ES,WEC,15.0723,14.7525,0.0164,0,0.0,0.0,0.0,HOLD_CASH
