Date,Pair_Rank,Ticker_A,Ticker_B,Price_A,Price_B,Hedge_Ratio,ZScore,Position,Unrealized_PnL,Realized_PnL,Cumulative_PnL,Status
2018-08-08,1,AIV,AVB,1.9786,138.0177,0.8753,0.0,0,0.0,0.0,0.0,HOLD_CASH
2018-08-09,1,AIV,AVB,1.9832,138.5056,0.8753,0.0,0,0.0,0.0,0.0,HOLD_CASH
2018-08-10,1,AIV,AVB,1.968,137.1971,0.8753,0.0,0,0.0,0.0,0.0,HOLD_CASH
2018-08-13,1,AIV,AVB,1.9616,137.561,0.8753,0.0,0,0.0,0.0,0.0,HOLD_CASH
2018-08-14,1,AIV,AVB,1.9868,138.3042,0.8753,0.0,0,0.0,0.0,0.0,HOLD_CASH
2018-08-15,1,AIV,AVB,2.0066,139.5972,0.8753,0.0,0,0.0,0.0,0.0,HOLD_CASH
2018-08-16,1,AIV,AVB,2.0135,140.387,0.8753,0.0,0,0.0,0.0,0.0,HOLD_CASH
2018-08-17,1,AIV,AVB,2.0325,141.8425,0.8753,0.0,0,0.0,0.0,0.0,HOLD_CASH
2018-08-20,1,AIV,AVB,2.0357,141.7419,0.8753,0.0,0,0.0,0.0,0.0,HOLD_CASH
2018-08-21,1,AIV,AVB,2.0112,140.1624,0.8753,0.0,0,0.0,0.0,0.0,HOLD_CASH
2018-08-22,1,AIV,AVB,2.0126,140.3715,0.8753,0.0,0,0.0,0.0,0.0,HOLD_CASH
2018-08-23,1,AIV,AVB,2.0112,140.2554,0.8753,0.0,0,0.0,0.0,0.0,HOLD_CASH
2018-08-24,1,AIV,AVB,2.0241,141.5329,0.8753,0.0,0,0.0,0.0,0.0,HOLD_CASH
2018-08-27,1,AIV,AVB,2.0311,141.2774,0.8753,0.0,0,0.0,0.0,0.0,HOLD_CASH
2018-08-28,1,AIV,AVB,2.0468,142.8413,0.8753,0.0,0,0.0,0.0,0.0,HOLD_CASH
2018-08-29,1,AIV,AVB,2.045,142.6633,0.8753,0.0,0,0.0,0.0,0.0,HOLD_CASH
2018-08-30,1,AIV,AVB,2.0278,141.5561,0.8753,0.0,0,0.0,0.0,0.0,HOLD_CASH
2018-08-31,1,AIV,AVB,2.0274,141.9122,0.8753,0.0,0,0.0,0.0,0.0,HOLD_CASH
2018-09-04,1,AIV,AVB,2.013,141.5793,0.8753,0.0,0,0.0,0.0,0.0,HOLD_CASH
2018-09-05,1,AIV,AVB,2.0237,142.3845,0.8753,-1.8258,0,0.0,0.0,0.0,HOLD_CASH
2018-09-06,1,AIV,AVB,2.0302,142.6478,0.8753,-1.243,0,0.0,0.0,0.0,HOLD_CASH
2018-09-07,1,AIV,AVB,2.0241,141.8271,0.8753,-0.626,0,0.0,0.0,0.0,HOLD_CASH
2018-09-10,1,AIV,AVB,2.0454,142.6865,0.8753,0.815,0,0.0,0.0,0.0,HOLD_CASH
2018-09-11,1,AIV,AVB,2.0547,142.4,0.8753,2.2909,-1,0.0,-0.0833,-0.0833,ENTER_SHORT_A
2018-09-12,1,AIV,AVB,2.0515,142.2452,0.8753,1.8212,-1,0.0278,-0.0833,-0.0555,HOLDING
2018-09-13,1,AIV,AVB,2.0639,143.7936,0.8753,0.9251,-1,0.1805,-0.0833,0.0971,HOLDING
2018-09-14,1,AIV,AVB,2.0427,141.9122,0.8753,1.1085,-1,0.127,-0.0833,0.0437,HOLDING
2018-09-17,1,AIV,AVB,2.0584,143.0271,0.8753,1.1901,-1,0.0912,-0.0833,0.0079,HOLDING
2018-09-18,1,AIV,AVB,2.0528,142.5239,0.8753,1.194,-1,0.0739,-0.0833,-0.0094,HOLDING
