Date,Pair_Rank,Ticker_A,Ticker_B,Price_A,Price_B,Mean_A,Std_A,Mean_B,Std_B,Hedge_Ratio,ZScore,Position,Unrealized_PnL,Realized_PnL,Cumulative_PnL,Status
2019-04-03,1,AEP,XEL,64.8082,45.1378,56.3762,4.5642,39.1471,3.2731,0.9959,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-04-04,1,AEP,XEL,64.5815,45.0645,56.3762,4.5642,39.1471,3.2731,0.9959,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-04-05,1,AEP,XEL,65.3241,45.415,56.3762,4.5642,39.1471,3.2731,0.9959,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-04-08,1,AEP,XEL,64.9958,45.0889,56.3762,4.5642,39.1471,3.2731,0.9959,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-04-09,1,AEP,XEL,65.3241,45.4558,56.3762,4.5642,39.1471,3.2731,0.9959,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-04-10,1,AEP,XEL,65.1521,45.1215,56.3762,4.5642,39.1471,3.2731,0.9959,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-04-11,1,AEP,XEL,65.6133,45.3824,56.3762,4.5642,39.1471,3.2731,0.9959,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-04-12,1,AEP,XEL,65.7774,45.5454,56.3762,4.5642,39.1471,3.2731,0.9959,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-04-15,1,AEP,XEL,65.8634,45.4721,56.3762,4.5642,39.1471,3.2731,0.9959,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-04-16,1,AEP,XEL,64.9176,44.7221,56.3762,4.5642,39.1471,3.2731,0.9959,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-04-17,1,AEP,XEL,65.0348,44.6487,56.3762,4.5642,39.1471,3.2731,0.9959,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-04-18,1,AEP,XEL,64.8863,44.5753,56.3762,4.5642,39.1471,3.2731,0.9959,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-04-22,1,AEP,XEL,64.8238,44.6569,56.3762,4.5642,39.1471,3.2731,0.9959,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-04-23,1,AEP,XEL,65.3241,44.9829,56.3762,4.5642,39.1471,3.2731,0.9959,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-04-24,1,AEP,XEL,65.6758,45.1704,56.3762,4.5642,39.1471,3.2731,0.9959,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-04-25,1,AEP,XEL,66.309,45.6433,56.3762,4.5642,39.1471,3.2731,0.9959,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-04-26,1,AEP,XEL,66.2151,45.5862,56.3762,4.5642,39.1471,3.2731,0.9959,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-04-29,1,AEP,XEL,65.6914,45.2031,56.3762,4.5642,39.1471,3.2731,0.9959,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-04-30,1,AEP,XEL,66.8717,46.059,56.3762,4.5642,39.1471,3.2731,0.9959,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-05-01,1,AEP,XEL,66.4028,45.5699,56.3762,4.5642,39.1471,3.2731,0.9959,1.3349,0.0,0.0,0.0,0.0,HOLD_CASH
2019-05-02,1,AEP,XEL,66.2074,45.5862,56.3762,4.5642,39.1471,3.2731,0.9959,0.605,0.0,0.0,0.0,0.0,HOLD_CASH
2019-05-03,1,AEP,XEL,66.778,46.1242,56.3762,4.5642,39.1471,3.2731,0.9959,-0.0977,0.0,0.0,0.0,0.0,HOLD_CASH
