Date,Pair_Rank,Ticker_A,Ticker_B,Price_A,Price_B,Hedge_Ratio,ZScore,Position,Unrealized_PnL,Realized_PnL,Cumulative_PnL,Status
2007-05-07,1,GIS,SO,16.0169,16.454,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-05-08,1,GIS,SO,16.0196,16.4148,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-05-09,1,GIS,SO,16.0437,16.3582,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-05-10,1,GIS,SO,16.0169,16.049,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-05-11,1,GIS,SO,16.0008,16.1056,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-05-14,1,GIS,SO,16.0786,16.1143,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-05-15,1,GIS,SO,16.1859,16.1491,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-05-16,1,GIS,SO,16.2905,16.3277,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-05-17,1,GIS,SO,16.1724,16.2145,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-05-18,1,GIS,SO,16.3521,16.258,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-05-21,1,GIS,SO,16.32,16.258,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-05-22,1,GIS,SO,16.3334,16.184,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-05-23,1,GIS,SO,16.1349,15.9532,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-05-24,1,GIS,SO,16.1376,15.6265,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-05-25,1,GIS,SO,16.1322,15.4479,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-05-29,1,GIS,SO,16.2315,15.5481,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-05-30,1,GIS,SO,16.1885,15.6657,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-05-31,1,GIS,SO,16.4246,15.6831,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-06-01,1,GIS,SO,16.4514,15.6222,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-06-04,1,GIS,SO,16.4863,15.5786,1.0,1.7025,0,0.0,0.0,0.0,HOLD_CASH
2007-06-05,1,GIS,SO,15.9311,15.3739,1.0,0.8086,0,0.0,0.0,0.0,HOLD_CASH
2007-06-06,1,GIS,SO,15.9445,15.3695,1.0,0.7773,0,0.0,0.0,0.0,HOLD_CASH
2007-06-07,1,GIS,SO,15.7675,14.9427,1.0,1.3903,0,0.0,0.0,0.0,HOLD_CASH
2007-06-08,1,GIS,SO,15.8774,15.069,1.0,1.1956,0,0.0,0.0,0.0,HOLD_CASH
