Date,Pair_Rank,Ticker_A,Ticker_B,Price_A,Price_B,ZScore,Position,Unrealized_PnL,Realized_PnL,Cumulative_PnL,Status
2014-08-06,1,PG,WMT,58.7702,19.9452,0.0,0,0.0,0.0,0.0,HOLD_CASH
2014-08-07,1,PG,WMT,58.0817,19.878,0.0,0,0.0,0.0,0.0,HOLD_CASH
2014-08-08,1,PG,WMT,58.6688,20.0716,0.0,0,0.0,0.0,0.0,HOLD_CASH
2014-08-11,1,PG,WMT,59.0529,19.9882,0.0,0,0.0,0.0,0.0,HOLD_CASH
2014-08-12,1,PG,WMT,59.0094,19.9506,0.0,0,0.0,0.0,0.0,HOLD_CASH
2014-08-13,1,PG,WMT,59.0529,19.8995,0.0,0,0.0,0.0,0.0,HOLD_CASH
2014-08-14,1,PG,WMT,59.3935,19.9963,0.0,0,0.0,0.0,0.0,HOLD_CASH
2014-08-15,1,PG,WMT,59.2703,19.8646,0.0,0,0.0,0.0,0.0,HOLD_CASH
2014-08-18,1,PG,WMT,59.7486,20.0232,0.0,0,0.0,0.0,0.0,HOLD_CASH
2014-08-19,1,PG,WMT,59.9298,20.128,0.0,0,0.0,0.0,0.0,HOLD_CASH
2014-08-20,1,PG,WMT,60.0168,20.1495,0.0,0,0.0,0.0,0.0,HOLD_CASH
2014-08-21,1,PG,WMT,60.3574,20.3081,0.0,0,0.0,0.0,0.0,HOLD_CASH
2014-08-22,1,PG,WMT,60.4371,20.3565,0.0,0,0.0,0.0,0.0,HOLD_CASH
2014-08-25,1,PG,WMT,60.5459,20.3458,0.0,0,0.0,0.0,0.0,HOLD_CASH
2014-08-26,1,PG,WMT,60.4299,20.3001,0.0,0,0.0,0.0,0.0,HOLD_CASH
2014-08-27,1,PG,WMT,60.3792,20.3888,0.0,0,0.0,0.0,0.0,HOLD_CASH
2014-08-28,1,PG,WMT,60.1762,20.4022,0.0,0,0.0,0.0,0.0,HOLD_CASH
2014-08-29,1,PG,WMT,60.2342,20.2947,0.0,0,0.0,0.0,0.0,HOLD_CASH
2014-09-02,1,PG,WMT,60.14,20.3619,0.0,0,0.0,0.0,0.0,HOLD_CASH
2014-09-03,1,PG,WMT,60.082,20.4318,-1.1511,0,0.0,0.0,0.0,HOLD_CASH
2014-09-04,1,PG,WMT,60.6618,20.5796,-0.7673,0,0.0,0.0,0.0,HOLD_CASH
2014-09-05,1,PG,WMT,60.7125,20.835,-2.4811,1,0.0,-0.5,-0.5,ENTER_LONG_A
2014-09-08,1,PG,WMT,60.3864,20.5716,-1.4699,1,1.818,-0.5,1.318,HOLDING
2014-09-09,1,PG,WMT,60.1473,20.628,-2.139,1,0.1558,-0.5,-0.3442,HOLDING
2014-09-10,1,PG,WMT,60.6183,20.5662,-0.5686,1,2.8375,-0.5,2.3375,HOLDING
2014-09-11,1,PG,WMT,60.5096,20.456,-0.0403,1,3.7122,-0.5,3.2122,HOLDING
