Date,Pair_Rank,Ticker_A,Ticker_B,Price_A,Price_B,ZScore,Position,Unrealized_PnL,Realized_PnL,Cumulative_PnL,Status
2019-04-09,1,AEP,XEL,65.3241,45.4558,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-04-10,1,AEP,XEL,65.1521,45.1215,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-04-11,1,AEP,XEL,65.6133,45.3824,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-04-12,1,AEP,XEL,65.7774,45.5454,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-04-15,1,AEP,XEL,65.8634,45.4721,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-04-16,1,AEP,XEL,64.9176,44.7221,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-04-17,1,AEP,XEL,65.0348,44.6487,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-04-18,1,AEP,XEL,64.8863,44.5753,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-04-22,1,AEP,XEL,64.8238,44.6569,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-04-23,1,AEP,XEL,65.3241,44.9829,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-04-24,1,AEP,XEL,65.6758,45.1704,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-04-25,1,AEP,XEL,66.309,45.6433,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-04-26,1,AEP,XEL,66.2151,45.5862,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-04-29,1,AEP,XEL,65.6914,45.2031,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-04-30,1,AEP,XEL,66.8717,46.059,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-05-01,1,AEP,XEL,66.4028,45.5699,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-05-02,1,AEP,XEL,66.2074,45.5862,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-05-03,1,AEP,XEL,66.778,46.1242,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-05-06,1,AEP,XEL,66.309,46.0672,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-05-07,1,AEP,XEL,66.1526,46.1242,-2.3092,1,0.0,-0.5,-0.5,ENTER_LONG_A
2019-05-08,1,AEP,XEL,65.4491,45.5536,-1.9031,1,0.4345,-0.5,-0.0655,HOLDING
2019-05-09,1,AEP,XEL,65.2994,45.7003,-2.4863,1,-0.9267,-0.5,-1.4267,HOLDING
2019-05-10,1,AEP,XEL,66.7099,46.6378,-1.9528,1,-0.6777,-0.5,-1.1777,HOLDING
2019-05-13,1,AEP,XEL,68.0337,47.1025,-0.3606,1,1.8065,-0.5,1.3065,HOLDING
2019-05-14,1,AEP,XEL,67.4191,46.7193,-0.4758,1,1.5606,-0.5,1.0606,HOLDING
2019-05-15,1,AEP,XEL,67.0172,46.646,-1.0797,1,0.4395,-0.5,-0.0605,HOLDING
2019-05-16,1,AEP,XEL,67.293,47.0617,-1.616,1,-0.7717,-0.5,-1.2717,HOLDING
2019-05-17,1,AEP,XEL,67.6476,47.453,-1.7968,1,-1.5525,-0.5,-2.0525,HOLDING
2019-05-20,1,AEP,XEL,68.2386,47.5998,-0.9047,1,-0.1144,-0.5,-0.6144,HOLDING
2019-05-21,1,AEP,XEL,68.2464,47.347,-0.0857,1,1.2851,-0.5,0.7851,HOLDING
2019-05-22,1,AEP,XEL,68.7823,47.6976,0.0396,1,1.4101,-0.5,0.9101,HOLDING
2019-05-23,1,AEP,XEL,69.4836,48.1704,0.1406,1,1.4977,-0.5,0.9977,HOLDING
2019-05-24,1,AEP,XEL,69.5702,48.0889,0.6517,1,2.267,-0.5,1.767,HOLDING
2019-05-28,1,AEP,XEL,68.2937,47.3063,0.384,1,1.6847,-0.5,1.1847,HOLDING
2019-05-29,1,AEP,XEL,67.5215,46.6297,0.9476,1,2.4338,-0.5,1.9338,HOLDING
2019-05-30,1,AEP,XEL,67.2142,46.7601,-0.2476,1,0.5654,-0.5,0.0654,HOLDING
2019-05-31,1,AEP,XEL,67.8604,46.7438,1.7414,1,3.0957,-0.5,2.5957,HOLDING
2019-06-03,1,AEP,XEL,68.8453,47.2411,2.1833,1,4.1227,-0.5,3.6227,HOLDING
2019-06-04,1,AEP,XEL,68.5931,47.1025,1.7708,1,3.9209,-0.5,3.4209,HOLDING
2019-06-05,1,AEP,XEL,70.4212,48.3579,1.5543,1,4.0251,-0.5,3.5251,HOLDING
2019-06-06,1,AEP,XEL,70.9177,48.7492,1.2514,1,3.7803,-0.5,3.2803,HOLDING
2019-06-07,1,AEP,XEL,70.5552,48.4476,1.2835,1,4.0452,-0.5,3.5452,HOLDING
2019-06-10,1,AEP,XEL,70.1454,48.309,0.7598,1,3.2478,-0.5,2.7478,HOLDING
2019-06-11,1,AEP,XEL,69.5939,47.8443,0.9557,1,3.6819,-0.5,3.1819,HOLDING
2019-06-12,1,AEP,XEL,70.437,48.5209,0.6017,1,3.2009,-0.5,2.7009,HOLDING
2019-06-13,1,AEP,XEL,70.5946,48.7959,0.0361,1,2.306,-0.5,1.806,HOLDING
2019-06-14,1,AEP,XEL,71.3747,49.272,0.1471,1,2.674,-0.5,2.174,HOLDING
2019-06-17,1,AEP,XEL,70.9807,49.1488,-0.5957,1,1.8523,-0.5,1.3523,HOLDING
2019-06-18,1,AEP,XEL,70.7443,49.313,-2.0474,1,0.0691,-0.5,-0.4309,HOLDING
2019-06-19,1,AEP,XEL,71.5953,49.9122,-1.8703,1,0.0376,-0.5,-0.4624,HOLDING
