Date,Pair_Rank,Ticker_A,Ticker_B,Price_A,Price_B,ZScore,Position,Unrealized_PnL,Realized_PnL,Cumulative_PnL,Status
2015-02-05,1,PNC,USB,62.7838,29.9247,0.0,0,0.0,0.0,0.0,HOLD_CASH
2015-02-06,1,PNC,USB,63.9289,30.2035,0.0,0,0.0,0.0,0.0,HOLD_CASH
2015-02-09,1,PNC,USB,63.2715,30.0403,0.0,0,0.0,0.0,0.0,HOLD_CASH
2015-02-10,1,PNC,USB,63.7592,30.2784,0.0,0,0.0,0.0,0.0,HOLD_CASH
2015-02-11,1,PNC,USB,63.4694,30.1083,0.0,0,0.0,0.0,0.0,HOLD_CASH
2015-02-12,1,PNC,USB,64.7206,30.6864,0.0,0,0.0,0.0,0.0,HOLD_CASH
2015-02-13,1,PNC,USB,65.3002,30.6524,0.0,0,0.0,0.0,0.0,HOLD_CASH
2015-02-17,1,PNC,USB,65.3002,30.6524,0.0,0,0.0,0.0,0.0,HOLD_CASH
2015-02-18,1,PNC,USB,64.5439,30.2852,0.0,0,0.0,0.0,0.0,HOLD_CASH
2015-02-19,1,PNC,USB,64.763,30.1423,0.0,0,0.0,0.0,0.0,HOLD_CASH
2015-02-20,1,PNC,USB,65.2225,30.3463,0.0,0,0.0,0.0,0.0,HOLD_CASH
2015-02-23,1,PNC,USB,64.763,30.2511,0.0,0,0.0,0.0,0.0,HOLD_CASH
2015-02-24,1,PNC,USB,65.2719,30.4144,0.0,0,0.0,0.0,0.0,HOLD_CASH
2015-02-25,1,PNC,USB,65.2225,30.496,0.0,0,0.0,0.0,0.0,HOLD_CASH
2015-02-26,1,PNC,USB,65.1447,30.5572,0.0,0,0.0,0.0,0.0,HOLD_CASH
2015-02-27,1,PNC,USB,65.0033,30.3396,0.0,0,0.0,0.0,0.0,HOLD_CASH
2015-03-02,1,PNC,USB,65.7031,30.5232,0.0,0,0.0,0.0,0.0,HOLD_CASH
2015-03-03,1,PNC,USB,65.2649,30.4348,0.0,0,0.0,0.0,0.0,HOLD_CASH
2015-03-04,1,PNC,USB,65.0811,30.2035,0.0,0,0.0,0.0,0.0,HOLD_CASH
2015-03-05,1,PNC,USB,65.4133,30.3192,1.3541,0,0.0,0.0,0.0,HOLD_CASH
2015-03-06,1,PNC,USB,66.2545,30.3804,2.2296,-1,0.0,-0.5,-0.5,ENTER_SHORT_A
2015-03-09,1,PNC,USB,66.82,30.53,2.1579,-1,-0.9024,-0.5,-1.4024,HOLDING
2015-03-10,1,PNC,USB,65.6536,29.7275,2.4445,-1,-3.1055,-0.5,-3.6055,HOLDING
2015-03-11,1,PNC,USB,65.9647,29.7547,2.2986,-1,-4.0553,-0.5,-4.5553,HOLDING
2015-03-12,1,PNC,USB,68.3044,30.2444,2.7782,-1,-8.8542,-0.5,-9.3542,HOLDING
2015-03-13,1,PNC,USB,67.6399,30.1219,2.0692,-1,-7.3543,-0.5,-7.8543,HOLDING
2015-03-16,1,PNC,USB,67.8308,30.5844,1.2301,-1,-4.2689,-0.5,-4.7689,HOLDING
2015-03-17,1,PNC,USB,67.7318,30.5708,1.0613,-1,-4.0074,-0.5,-4.5074,HOLDING
2015-03-18,1,PNC,USB,67.8803,30.5028,1.1768,-1,-5.1272,-0.5,-5.6272,HOLDING
2015-03-19,1,PNC,USB,67.0603,30.2239,0.9192,-1,-4.3279,-0.5,-4.8279,HOLDING
2015-03-20,1,PNC,USB,67.8379,30.5096,0.9358,-1,-4.9111,-0.5,-5.4111,HOLDING
2015-03-23,1,PNC,USB,67.2299,30.4076,0.5599,-1,-3.4569,-0.5,-3.9569,HOLDING
2015-03-24,1,PNC,USB,66.7634,30.0607,0.7274,-1,-4.5508,-0.5,-5.0508,HOLDING
2015-03-25,1,PNC,USB,65.385,29.5302,0.4819,-1,-3.715,-0.5,-4.215,HOLDING
2015-03-26,1,PNC,USB,65.378,29.4146,0.6343,-1,-4.6398,-0.5,-5.1398,HOLDING
2015-03-27,1,PNC,USB,65.0599,29.3154,0.4622,-1,-4.2556,-0.5,-4.7556,HOLDING
2015-03-30,1,PNC,USB,66.3393,29.9515,0.2428,-1,-3.8489,-0.5,-4.3489,HOLDING
2015-03-31,1,PNC,USB,65.9081,29.8695,-0.1768,-1,-2.8972,-0.5,-3.3972,HOLDING
2015-04-01,1,PNC,USB,65.385,29.7463,-0.7063,-1,-1.9366,-0.5,-2.4366,HOLDING
2015-04-02,1,PNC,USB,65.9434,29.8968,-0.5844,-1,-2.8054,-0.5,-3.3054,HOLDING
2015-04-06,1,PNC,USB,65.378,29.6301,-0.6941,-1,-2.8668,-0.5,-3.3668,HOLDING
2015-04-07,1,PNC,USB,65.7526,29.6506,-0.0569,-1,-4.1116,-0.5,-4.6116,HOLDING
2015-04-08,1,PNC,USB,65.6254,29.7053,-0.6825,-1,-3.1812,-0.5,-3.6812,HOLDING
2015-04-09,1,PNC,USB,66.099,29.8011,-0.0319,-1,-4.1802,-0.5,-4.6802,HOLDING
2015-04-10,1,PNC,USB,66.0778,29.9242,-0.7888,-1,-3.0871,-0.5,-3.5871,HOLDING
2015-04-13,1,PNC,USB,66.3265,30.1567,-1.8347,-1,-2.1121,-0.5,-2.6121,HOLDING
2015-04-14,1,PNC,USB,66.5398,29.7737,2.2306,-1,-6.0686,-0.5,-6.5686,HOLDING
2015-04-15,1,PNC,USB,65.5305,29.7053,-0.8635,-1,-2.8231,-0.5,-3.3231,HOLDING
2015-04-16,1,PNC,USB,65.2178,29.3702,0.7497,-1,-4.4011,-0.5,-4.9011,HOLDING
2015-04-17,1,PNC,USB,64.6278,29.0282,1.2985,-1,-4.9894,-0.5,-5.4894,HOLDING
2015-04-20,1,PNC,USB,64.9832,29.247,0.8361,-1,-4.5293,-0.5,-5.0293,HOLDING
2015-04-21,1,PNC,USB,64.8198,29.0692,1.4897,-1,-5.3759,-0.5,-5.8759,HOLDING
2015-04-22,1,PNC,USB,64.969,29.2949,0.2948,-1,-4.0815,-0.5,-4.5815,HOLDING
2015-04-23,1,PNC,USB,64.9619,29.2881,0.3024,-1,-4.111,-0.5,-4.611,HOLDING
2015-04-24,1,PNC,USB,64.6776,29.2334,-0.2137,-1,-3.4887,-0.5,-3.9887,HOLDING
2015-04-27,1,PNC,USB,64.5497,29.1102,0.3075,-1,-4.0189,-0.5,-4.5189,HOLDING
2015-04-28,1,PNC,USB,64.969,29.3223,0.1244,-1,-3.8564,-0.5,-4.3564,HOLDING
2015-04-29,1,PNC,USB,65.2888,29.3975,0.5927,-1,-4.4441,-0.5,-4.9441,HOLDING
2015-04-30,1,PNC,USB,65.1964,29.3223,0.7856,-1,-4.7147,-0.5,-5.2147,HOLDING
2015-05-01,1,PNC,USB,65.3884,29.3496,1.1665,-1,-5.2136,-0.5,-5.7136,HOLDING
2015-05-04,1,PNC,USB,66.291,29.7805,0.8602,-1,-5.0736,-0.5,-5.5736,HOLDING
2015-05-05,1,PNC,USB,66.1773,29.5822,1.8292,-1,-6.2768,-0.5,-6.7768,HOLDING
2015-05-06,1,PNC,USB,65.8574,29.4796,1.3537,-1,-5.9142,-0.5,-6.4142,HOLDING
2015-05-07,1,PNC,USB,65.6513,29.4796,0.5891,-1,-5.1366,-0.5,-5.6366,HOLDING
2015-05-08,1,PNC,USB,66.5611,29.9994,-0.3211,-1,-4.2916,-0.5,-4.7916,HOLDING
2015-05-11,1,PNC,USB,66.5611,29.9242,0.1713,-1,-4.9108,-0.5,-5.4108,HOLDING
2015-05-12,1,PNC,USB,66.7174,30.0268,-0.0588,-1,-4.6565,-0.5,-5.1565,HOLDING
2015-05-13,1,PNC,USB,66.9449,30.1909,-0.891,-1,-4.1638,-0.5,-4.6638,HOLDING
2015-05-14,1,PNC,USB,67.4922,30.3551,0.0565,-1,-4.8781,-0.5,-5.3781,HOLDING
2015-05-15,1,PNC,USB,66.6251,30.0473,-0.8417,-1,-4.1391,-0.5,-4.6391,HOLDING
2015-05-18,1,PNC,USB,67.2576,30.232,0.3108,-1,-5.0062,-0.5,-5.5062,HOLDING
2015-05-19,1,PNC,USB,67.9186,30.5671,-0.0687,-1,-4.7424,-0.5,-5.2424,HOLDING
2015-05-20,1,PNC,USB,67.549,30.1567,2.3055,-1,-6.7249,-0.5,-7.2249,HOLDING
2015-05-21,1,PNC,USB,67.4922,29.9994,2.7072,-1,-7.8049,-0.5,-8.3049,HOLDING
2015-05-22,1,PNC,USB,67.6769,29.8011,3.2252,-1,-10.1344,-0.5,-10.6344,HOLDING
2015-05-26,1,PNC,USB,67.2434,29.6643,2.3269,-1,-9.6242,-0.5,-10.1242,HOLDING
