Date,Pair_Rank,Ticker_A,Ticker_B,Price_A,Price_B,Hedge_Ratio,ZScore,Position,Unrealized_PnL,Realized_PnL,Cumulative_PnL,Status
2007-11-02,1,GIS,TRV,15.4704,33.886,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-11-05,1,GIS,TRV,15.5628,33.8601,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-11-06,1,GIS,TRV,15.5927,33.9312,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-11-07,1,GIS,TRV,15.4623,32.5478,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-11-08,1,GIS,TRV,15.677,33.0133,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-11-09,1,GIS,TRV,15.484,33.2266,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-11-12,1,GIS,TRV,15.3861,33.2137,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-11-13,1,GIS,TRV,15.6607,33.8019,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-11-14,1,GIS,TRV,15.7722,34.0863,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-11-15,1,GIS,TRV,15.4894,34.235,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-11-16,1,GIS,TRV,15.6118,34.0799,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-11-19,1,GIS,TRV,15.2094,33.162,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-11-20,1,GIS,TRV,15.3318,33.0908,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-11-21,1,GIS,TRV,15.3128,32.3539,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-11-23,1,GIS,TRV,15.5221,33.3624,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-11-26,1,GIS,TRV,15.5846,32.425,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-11-27,1,GIS,TRV,15.7776,33.0844,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-11-28,1,GIS,TRV,16.2234,33.2589,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-11-29,1,GIS,TRV,16.2968,33.8019,1.0,0.0,0,0.0,0.0,0.0,HOLD_CASH
2007-11-30,1,GIS,TRV,16.3512,34.332,1.0,0.8701,0,0.0,0.0,0.0,HOLD_CASH
2007-12-03,1,GIS,TRV,16.3022,34.5518,1.0,0.3546,0,0.0,0.0,0.0,HOLD_CASH
2007-12-04,1,GIS,TRV,16.2832,34.2092,1.0,0.7117,0,0.0,0.0,0.0,HOLD_CASH
2007-12-05,1,GIS,TRV,16.4246,35.0172,1.0,-0.0788,0,0.0,0.0,0.0,HOLD_CASH
2007-12-06,1,GIS,TRV,16.6094,35.5046,1.0,-0.1766,0,0.0,0.0,0.0,HOLD_CASH
2007-12-07,1,GIS,TRV,16.4517,35.1992,1.0,-0.1837,0,0.0,0.0,0.0,HOLD_CASH
2007-12-10,1,GIS,TRV,16.5551,35.8621,1.0,-0.7995,0,0.0,0.0,0.0,HOLD_CASH
2007-12-11,1,GIS,TRV,16.169,34.2893,1.0,0.259,0,0.0,0.0,0.0,HOLD_CASH
2007-12-12,1,GIS,TRV,16.1065,35.3422,1.0,-1.4156,0,0.0,0.0,0.0,HOLD_CASH
2007-12-13,1,GIS,TRV,16.2941,35.3552,1.0,-0.8391,0,0.0,0.0,0.0,HOLD_CASH
