Date,Pair_Rank,Ticker_A,Ticker_B,Price_A,Price_B,Hedge_Ratio,ZScore,Position,Unrealized_PnL,Realized_PnL,Cumulative_PnL,Status
2017-12-06,1,LNT,WEC,34.6211,52.4815,1.0007,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-12-07,1,LNT,WEC,34.6988,52.7116,1.0007,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-12-08,1,LNT,WEC,34.932,52.8957,1.0007,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-12-11,1,LNT,WEC,35.0408,53.0568,1.0007,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-12-12,1,LNT,WEC,34.2091,51.8986,1.0007,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-12-13,1,LNT,WEC,34.4268,52.0903,1.0007,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-12-14,1,LNT,WEC,34.1625,51.9292,1.0007,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-12-15,1,LNT,WEC,34.5356,52.2897,1.0007,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-12-18,1,LNT,WEC,33.8904,51.7528,1.0007,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-12-19,1,LNT,WEC,33.2453,50.725,1.0007,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-12-20,1,LNT,WEC,33.0432,50.5792,1.0007,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-12-21,1,LNT,WEC,32.8955,50.3338,1.0007,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-12-22,1,LNT,WEC,33.0354,50.4105,1.0007,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-12-26,1,LNT,WEC,32.7945,50.1344,1.0007,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-12-27,1,LNT,WEC,32.9732,50.5332,1.0007,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-12-28,1,LNT,WEC,33.1598,50.9551,1.0007,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-12-29,1,LNT,WEC,33.1209,50.9551,1.0007,0.0,0,0.0,0.0,0.0,HOLD_CASH
2018-01-02,1,LNT,WEC,32.7323,50.4488,1.0007,0.0,0,0.0,0.0,0.0,HOLD_CASH
2018-01-03,1,LNT,WEC,32.4447,50.2724,1.0007,0.0,0,0.0,0.0,0.0,HOLD_CASH
2018-01-04,1,LNT,WEC,32.0638,50.096,1.0007,-2.6271,1,0.0,-0.0833,-0.0833,ENTER_LONG_A
2018-01-05,1,LNT,WEC,31.9316,49.7585,1.0007,-1.9592,1,0.1091,-0.0833,0.0258,HOLDING
2018-01-08,1,LNT,WEC,32.2892,50.188,1.0007,-1.4907,1,0.2162,-0.0833,0.1329,HOLDING
2018-01-09,1,LNT,WEC,31.7995,49.7892,1.0007,-1.9135,1,-0.088,-0.0833,-0.1714,HOLDING
2018-01-10,1,LNT,WEC,31.2398,48.838,1.0007,-1.5711,1,-0.0237,-0.0833,-0.107,HOLDING
2018-01-11,1,LNT,WEC,30.9678,48.769,1.0007,-1.9217,1,-0.3197,-0.0833,-0.403,HOLDING
2018-01-12,1,LNT,WEC,30.7268,48.8073,1.0007,-2.2217,1,-0.6646,-0.0833,-0.7479,HOLDING
2018-01-16,1,LNT,WEC,30.7501,48.4392,1.0007,-1.4138,1,-0.328,-0.0833,-0.4113,HOLDING
2018-01-17,1,LNT,WEC,31.1388,48.7613,1.0007,-0.8832,1,-0.0911,-0.0833,-0.1745,HOLDING
2018-01-18,1,LNT,WEC,30.8434,48.5312,1.0007,-1.1443,1,-0.2834,-0.0833,-0.3667,HOLDING
2018-01-19,1,LNT,WEC,30.6335,48.4085,1.0007,-1.3419,1,-0.4539,-0.0833,-0.5372,HOLDING
2018-01-22,1,LNT,WEC,30.7424,48.3318,1.0007,-0.846,1,-0.2487,-0.0833,-0.332,HOLDING
2018-01-23,1,LNT,WEC,31.2165,48.769,1.0007,-0.2662,1,0.0035,-0.0833,-0.0799,HOLDING
2018-01-24,1,LNT,WEC,30.9756,48.5082,1.0007,-0.3913,1,-0.0926,-0.0833,-0.1759,HOLDING
2018-01-25,1,LNT,WEC,31.3953,49.1986,1.0007,-0.3755,1,-0.1217,-0.0833,-0.205,HOLDING
2018-01-26,1,LNT,WEC,31.3253,49.0988,1.0007,-0.3135,1,-0.1296,-0.0833,-0.2129,HOLDING
2018-01-29,1,LNT,WEC,30.789,48.3394,1.0007,-0.4279,1,-0.1945,-0.0833,-0.2778,HOLDING
2018-01-30,1,LNT,WEC,30.778,48.5696,1.0007,-1.0379,1,-0.4002,-0.0833,-0.4836,HOLDING
2018-01-31,1,LNT,WEC,31.1622,49.3213,1.0007,-1.4446,1,-0.5267,-0.0833,-0.61,HOLDING
2018-02-01,1,LNT,WEC,30.6369,48.0173,1.0007,0.2917,1,-0.124,-0.0833,-0.2073,HOLDING
2018-02-02,1,LNT,WEC,30.5037,47.5647,1.0007,1.2009,1,0.0794,-0.0833,-0.0039,HOLDING
2018-02-05,1,LNT,WEC,29.9627,46.9204,1.0007,0.4922,1,-0.0872,-0.0833,-0.1705,HOLDING
2018-02-06,1,LNT,WEC,29.4061,46.1687,1.0007,0.1052,1,-0.1848,-0.0833,-0.2681,HOLDING
