Date,Pair_Rank,Ticker_A,Ticker_B,Price_A,Price_B,Hedge_Ratio,ZScore,Position,Unrealized_PnL,Realized_PnL,Cumulative_PnL,Status
2019-02-08,1,AEP,XEL,62.5491,43.2854,0.9708,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-02-11,1,AEP,XEL,62.6038,43.3583,0.9708,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-02-12,1,AEP,XEL,62.768,43.2854,0.9708,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-02-13,1,AEP,XEL,62.1817,43.1155,0.9708,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-02-14,1,AEP,XEL,62.0254,43.1155,0.9708,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-02-15,1,AEP,XEL,61.9629,43.2692,0.9708,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-02-19,1,AEP,XEL,62.596,43.5363,0.9708,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-02-20,1,AEP,XEL,62.94,43.7872,0.9708,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-02-21,1,AEP,XEL,63.4324,44.3376,0.9708,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-02-22,1,AEP,XEL,63.878,44.7342,0.9708,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-02-25,1,AEP,XEL,63.1432,44.281,0.9708,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-02-26,1,AEP,XEL,62.8618,44.0867,0.9708,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-02-27,1,AEP,XEL,63.026,44.0219,0.9708,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-02-28,1,AEP,XEL,63.4324,44.4024,0.9708,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-03-01,1,AEP,XEL,63.6278,44.4509,0.9708,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-03-04,1,AEP,XEL,63.6435,44.5804,0.9708,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-03-05,1,AEP,XEL,63.3386,44.4347,0.9708,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-03-06,1,AEP,XEL,63.5184,44.5885,0.9708,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-03-07,1,AEP,XEL,63.6669,44.9366,0.9708,0.0,0,0.0,0.0,0.0,HOLD_CASH
2019-03-08,1,AEP,XEL,64.0578,45.058,0.9708,-1.1938,0,0.0,0.0,0.0,HOLD_CASH
2019-03-11,1,AEP,XEL,64.5658,45.3655,0.9708,-0.8788,0,0.0,0.0,0.0,HOLD_CASH
2019-03-12,1,AEP,XEL,64.9645,45.6974,0.9708,-0.9615,0,0.0,0.0,0.0,HOLD_CASH
2019-03-13,1,AEP,XEL,65.0192,45.8511,0.9708,-1.4535,0,0.0,0.0,0.0,HOLD_CASH
2019-03-14,1,AEP,XEL,64.8629,45.7819,0.9708,-1.5656,0,0.0,0.0,0.0,HOLD_CASH
2019-03-15,1,AEP,XEL,65.5117,46.059,0.9708,-0.5022,0,0.0,0.0,0.0,HOLD_CASH
2019-03-18,1,AEP,XEL,65.2537,45.7492,0.9708,0.214,0,0.0,0.0,0.0,HOLD_CASH
2019-03-19,1,AEP,XEL,64.5346,45.3742,0.9708,-0.5365,0,0.0,0.0,0.0,HOLD_CASH
2019-03-20,1,AEP,XEL,64.7769,45.5128,0.9708,-0.2049,0,0.0,0.0,0.0,HOLD_CASH
2019-03-21,1,AEP,XEL,65.7305,46.0427,0.9708,1.0304,0,0.0,0.0,0.0,HOLD_CASH
2019-03-22,1,AEP,XEL,66.5513,46.5237,0.9708,1.6968,0,0.0,0.0,0.0,HOLD_CASH
2019-03-25,1,AEP,XEL,66.692,46.5237,0.9708,2.0212,-1,0.0,-0.0833,-0.0833,ENTER_SHORT_A
2019-03-26,1,AEP,XEL,67.2079,46.7601,0.9708,2.2817,-1,-0.1185,-0.0833,-0.2018,HOLDING
2019-03-27,1,AEP,XEL,66.6216,46.3933,0.9708,1.7995,-1,-0.0705,-0.0833,-0.1538,HOLDING
2019-03-28,1,AEP,XEL,65.496,45.7819,0.9708,0.7952,-1,0.1037,-0.0833,0.0204,HOLDING
2019-03-29,1,AEP,XEL,65.4648,45.8226,0.9708,0.5047,-1,0.1595,-0.0833,0.0762,HOLDING
2019-04-01,1,AEP,XEL,64.7378,45.3009,0.9708,0.4735,-1,0.1601,-0.0833,0.0767,HOLDING
2019-04-02,1,AEP,XEL,64.941,45.309,0.9708,1.0495,-1,0.0384,-0.0833,-0.0449,HOLDING
2019-04-03,1,AEP,XEL,64.8082,45.1378,0.9708,1.2658,-1,-0.0284,-0.0833,-0.1117,HOLDING
2019-04-04,1,AEP,XEL,64.5815,45.0645,0.9708,0.7778,-1,0.0506,-0.0833,-0.0328,HOLDING
2019-04-05,1,AEP,XEL,65.3241,45.415,0.9708,1.4759,-1,-0.1109,-0.0833,-0.1943,HOLDING
2019-04-08,1,AEP,XEL,64.9958,45.0889,0.9708,1.6589,-1,-0.1905,-0.0833,-0.2738,HOLDING
2019-04-09,1,AEP,XEL,65.3241,45.4558,0.9708,0.9771,-1,-0.075,-0.0833,-0.1583,HOLDING
2019-04-10,1,AEP,XEL,65.1521,45.1215,0.9708,1.7316,-1,-0.2608,-0.0833,-0.3442,HOLDING
2019-04-11,1,AEP,XEL,65.6133,45.3824,0.9708,1.8845,-1,-0.3231,-0.0833,-0.4064,HOLDING
2019-04-12,1,AEP,XEL,65.7774,45.5454,0.9708,1.515,-1,-0.2833,-0.0833,-0.3666,HOLDING
2019-04-15,1,AEP,XEL,65.8634,45.4721,0.9708,1.837,-1,-0.4026,-0.0833,-0.4859,HOLDING
2019-04-16,1,AEP,XEL,64.9176,44.7221,0.9708,1.9405,-1,-0.4646,-0.0833,-0.5479,HOLDING
2019-04-17,1,AEP,XEL,65.0348,44.6487,0.9708,2.243,-1,-0.6037,-0.0833,-0.687,HOLDING
2019-04-18,1,AEP,XEL,64.8863,44.5753,0.9708,1.8412,-1,-0.5743,-0.0833,-0.6576,HOLDING
2019-04-22,1,AEP,XEL,64.8238,44.6569,0.9708,1.2262,-1,-0.4627,-0.0833,-0.546,HOLDING
2019-04-23,1,AEP,XEL,65.3241,44.9829,0.9708,1.1982,-1,-0.4922,-0.0833,-0.5755,HOLDING
2019-04-24,1,AEP,XEL,65.6758,45.1704,0.9708,1.2757,-1,-0.5497,-0.0833,-0.6331,HOLDING
2019-04-25,1,AEP,XEL,66.309,45.6433,0.9708,1.0784,-1,-0.534,-0.0833,-0.6173,HOLDING
2019-04-26,1,AEP,XEL,66.2151,45.5862,0.9708,0.9519,-1,-0.5249,-0.0833,-0.6082,HOLDING
2019-04-29,1,AEP,XEL,65.6914,45.2031,0.9708,0.9131,-1,-0.5309,-0.0833,-0.6142,HOLDING
2019-04-30,1,AEP,XEL,66.8717,46.059,0.9708,0.779,-1,-0.524,-0.0833,-0.6073,HOLDING
2019-05-01,1,AEP,XEL,66.4028,45.5699,0.9708,1.301,-1,-0.6582,-0.0833,-0.7415,HOLDING
2019-05-02,1,AEP,XEL,66.2074,45.5862,0.9708,0.5803,-1,-0.5199,-0.0833,-0.6032,HOLDING
2019-05-03,1,AEP,XEL,66.778,46.1242,0.9708,-0.1509,-1,-0.407,-0.0833,-0.4903,HOLDING
2019-05-06,1,AEP,XEL,66.309,46.0672,0.9708,-1.6763,-1,-0.16,-0.0833,-0.2433,HOLDING
2019-05-07,1,AEP,XEL,66.1526,46.1242,0.9708,-2.2804,-1,-0.0105,-0.0833,-0.0938,HOLDING
2019-05-08,1,AEP,XEL,65.4491,45.5536,0.9708,-1.9474,-1,-0.068,-0.0833,-0.1513,HOLDING
2019-05-09,1,AEP,XEL,65.2994,45.7003,0.9708,-2.5276,-1,0.1564,-0.0833,0.0731,HOLDING
2019-05-10,1,AEP,XEL,66.7099,46.6378,0.9708,-1.9018,-1,0.0894,-0.0833,0.006,HOLDING
2019-05-13,1,AEP,XEL,68.0337,47.1025,0.9708,-0.209,-1,-0.34,-0.0833,-0.4233,HOLDING
2019-05-14,1,AEP,XEL,67.4191,46.7193,0.9708,-0.3778,-1,-0.2884,-0.0833,-0.3717,HOLDING
2019-05-15,1,AEP,XEL,67.0172,46.646,0.9708,-1.0298,-1,-0.0983,-0.0833,-0.1816,HOLDING
2019-05-16,1,AEP,XEL,67.293,47.0617,0.9708,-1.5665,-1,0.0937,-0.0833,0.0103,HOLDING
2019-05-17,1,AEP,XEL,67.6476,47.453,0.9708,-1.7433,-1,0.2141,-0.0833,0.1308,HOLDING
2019-05-20,1,AEP,XEL,68.2386,47.5998,0.9708,-0.8116,-1,-0.0311,-0.0833,-0.1145,HOLDING
2019-05-21,1,AEP,XEL,68.2464,47.347,0.9708,0.0147,-1,-0.2591,-0.0833,-0.3424,HOLDING
2019-05-22,1,AEP,XEL,68.7823,47.6976,0.9708,0.1704,-1,-0.2895,-0.0833,-0.3729,HOLDING
2019-05-23,1,AEP,XEL,69.4836,48.1704,0.9708,0.3131,-1,-0.317,-0.0833,-0.4003,HOLDING
2019-05-24,1,AEP,XEL,69.5702,48.0889,0.9708,0.8179,-1,-0.4438,-0.0833,-0.5272,HOLDING
2019-05-28,1,AEP,XEL,68.2937,47.3063,0.9708,0.4516,-1,-0.325,-0.0833,-0.4084,HOLDING
2019-05-29,1,AEP,XEL,67.5215,46.6297,0.9708,0.9432,-1,-0.4324,-0.0833,-0.5158,HOLDING
2019-05-30,1,AEP,XEL,67.2142,46.7601,0.9708,-0.2525,-1,-0.1225,-0.0833,-0.2058,HOLDING
2019-05-31,1,AEP,XEL,67.8604,46.7438,0.9708,1.6922,-1,-0.5466,-0.0833,-0.6299,HOLDING
2019-06-03,1,AEP,XEL,68.8453,47.2411,0.9708,2.1648,-1,-0.7323,-0.0833,-0.8156,HOLDING
2019-06-04,1,AEP,XEL,68.5931,47.1025,0.9708,1.7462,-1,-0.6947,-0.0833,-0.778,HOLDING
2019-06-05,1,AEP,XEL,70.4212,48.3579,0.9708,1.6308,-1,-0.7461,-0.0833,-0.8294,HOLDING
2019-06-06,1,AEP,XEL,70.9177,48.7492,0.9708,1.3466,-1,-0.7156,-0.0833,-0.7989,HOLDING
2019-06-07,1,AEP,XEL,70.5552,48.4476,0.9708,1.3459,-1,-0.7519,-0.0833,-0.8352,HOLDING
2019-06-10,1,AEP,XEL,70.1454,48.309,0.9708,0.8188,-1,-0.6143,-0.0833,-0.6977,HOLDING
2019-06-11,1,AEP,XEL,69.5939,47.8443,0.9708,0.9625,-1,-0.6746,-0.0833,-0.758,HOLDING
2019-06-12,1,AEP,XEL,70.437,48.5209,0.9708,0.6682,-1,-0.6122,-0.0833,-0.6955,HOLDING
2019-06-13,1,AEP,XEL,70.5946,48.7959,0.9708,0.1348,-1,-0.4695,-0.0833,-0.5528,HOLDING
