Date,Pair_Rank,Ticker_A,Ticker_B,Price_A,Price_B,ZScore,Position,Unrealized_PnL,Realized_PnL,Cumulative_PnL,Status
2010-03-05,1,ES,WEC,15.2739,14.7792,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-03-08,1,ES,WEC,15.3143,14.8147,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-03-09,1,ES,WEC,15.2624,14.7555,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-03-10,1,ES,WEC,15.4007,14.7614,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-03-11,1,ES,WEC,15.3661,14.8384,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-03-12,1,ES,WEC,15.4468,14.794,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-03-15,1,ES,WEC,15.5562,14.8591,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-03-16,1,ES,WEC,15.7003,15.0189,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-03-17,1,ES,WEC,15.6484,15.1491,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-03-18,1,ES,WEC,15.6542,15.1017,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-03-19,1,ES,WEC,15.6484,14.9626,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-03-22,1,ES,WEC,15.6081,14.862,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-03-23,1,ES,WEC,15.6945,14.8975,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-03-24,1,ES,WEC,15.5274,14.7644,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-03-25,1,ES,WEC,15.6081,14.6785,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-03-26,1,ES,WEC,15.5678,14.6726,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-03-29,1,ES,WEC,15.8674,14.7111,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-03-30,1,ES,WEC,16.0345,14.6371,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-03-31,1,ES,WEC,15.925,14.6223,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-04-01,1,ES,WEC,16.1151,14.7703,1.8575,0,0.0,0.0,0.0,HOLD_CASH
2010-04-05,1,ES,WEC,16.1555,14.9212,1.3042,0,0.0,0.0,0.0,HOLD_CASH
2010-04-06,1,ES,WEC,16.2476,15.0662,0.9957,0,0.0,0.0,0.0,HOLD_CASH
2010-04-07,1,ES,WEC,16.0863,14.9478,0.8017,0,0.0,0.0,0.0,HOLD_CASH
2010-04-08,1,ES,WEC,15.9596,14.8502,0.6571,0,0.0,0.0,0.0,HOLD_CASH
2010-04-09,1,ES,WEC,16.0229,14.939,0.4783,0,0.0,0.0,0.0,HOLD_CASH
2010-04-12,1,ES,WEC,16.0172,15.0455,0.0107,0,0.0,0.0,0.0,HOLD_CASH
2010-04-13,1,ES,WEC,15.9826,15.081,-0.2887,0,0.0,0.0,0.0,HOLD_CASH
2010-04-14,1,ES,WEC,16.0575,15.2023,-0.5276,0,0.0,0.0,0.0,HOLD_CASH
2010-04-15,1,ES,WEC,16.069,15.0751,-0.083,0,0.0,0.0,0.0,HOLD_CASH
2010-04-16,1,ES,WEC,15.7752,14.9626,-0.9556,0,0.0,0.0,0.0,HOLD_CASH
2010-04-19,1,ES,WEC,15.8213,15.0248,-1.1093,0,0.0,0.0,0.0,HOLD_CASH
2010-04-20,1,ES,WEC,15.8904,15.2053,-1.6192,0,0.0,0.0,0.0,HOLD_CASH
2010-04-21,1,ES,WEC,15.9307,15.2882,-1.6942,0,0.0,0.0,0.0,HOLD_CASH
2010-04-22,1,ES,WEC,15.9999,15.3355,-1.5225,0,0.0,0.0,0.0,HOLD_CASH
2010-04-23,1,ES,WEC,15.9941,15.3829,-1.5633,0,0.0,0.0,0.0,HOLD_CASH
