Date,Pair_Rank,Ticker_A,Ticker_B,Price_A,Price_B,Hedge_Ratio,ZScore,Position,Unrealized_PnL,Realized_PnL,Cumulative_PnL,Status
2017-02-07,1,CMS,XEL,32.5624,31.6226,1.045,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-02-08,1,CMS,XEL,32.8611,31.9262,1.045,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-02-09,1,CMS,XEL,32.7386,31.6985,1.045,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-02-10,1,CMS,XEL,32.8841,31.8352,1.045,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-02-13,1,CMS,XEL,33.0373,31.9035,1.045,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-02-14,1,CMS,XEL,32.7692,31.6682,1.045,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-02-15,1,CMS,XEL,32.7615,31.5847,1.045,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-02-16,1,CMS,XEL,33.0067,31.7972,1.045,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-02-17,1,CMS,XEL,33.1062,31.8807,1.045,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-02-21,1,CMS,XEL,33.3514,32.2071,1.045,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-02-22,1,CMS,XEL,33.5199,32.2527,1.045,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-02-23,1,CMS,XEL,33.8492,32.6018,1.045,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-02-24,1,CMS,XEL,34.2246,32.8979,1.045,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-02-27,1,CMS,XEL,33.9335,32.8751,1.045,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-02-28,1,CMS,XEL,34.102,33.1787,1.045,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-03-01,1,CMS,XEL,33.8033,33.0193,1.045,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-03-02,1,CMS,XEL,34.102,33.285,1.045,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-03-03,1,CMS,XEL,33.9335,33.1863,1.045,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-03-06,1,CMS,XEL,33.9718,33.1104,1.045,0.0,0,0.0,0.0,0.0,HOLD_CASH
2017-03-07,1,CMS,XEL,34.0408,33.2622,1.045,-1.5422,0,0.0,0.0,0.0,HOLD_CASH
2017-03-08,1,CMS,XEL,33.4509,32.6777,1.045,-1.2587,0,0.0,0.0,0.0,HOLD_CASH
2017-03-09,1,CMS,XEL,33.4892,32.6929,1.045,-1.0791,0,0.0,0.0,0.0,HOLD_CASH
2017-03-10,1,CMS,XEL,33.8109,33.0193,1.045,-1.0892,0,0.0,0.0,0.0,HOLD_CASH
2017-03-13,1,CMS,XEL,33.8492,33.0882,1.045,-1.1212,0,0.0,0.0,0.0,HOLD_CASH
2017-03-14,1,CMS,XEL,33.8799,33.1035,1.045,-0.9616,0,0.0,0.0,0.0,HOLD_CASH
2017-03-15,1,CMS,XEL,34.4697,33.7158,1.045,-1.1025,0,0.0,0.0,0.0,HOLD_CASH
2017-03-16,1,CMS,XEL,34.0025,33.3561,1.045,-1.2947,0,0.0,0.0,0.0,HOLD_CASH
2017-03-17,1,CMS,XEL,34.2476,33.5627,1.045,-1.0937,0,0.0,0.0,0.0,HOLD_CASH
2017-03-20,1,CMS,XEL,33.8952,33.3637,1.045,-1.522,0,0.0,0.0,0.0,HOLD_CASH
2017-03-21,1,CMS,XEL,34.4774,33.9531,1.045,-1.5272,0,0.0,0.0,0.0,HOLD_CASH
2017-03-22,1,CMS,XEL,34.6153,34.0679,1.045,-1.3854,0,0.0,0.0,0.0,HOLD_CASH
2017-03-23,1,CMS,XEL,34.5463,34.1215,1.045,-1.809,0,0.0,0.0,0.0,HOLD_CASH
2017-03-24,1,CMS,XEL,34.6842,34.2669,1.045,-1.9145,0,0.0,0.0,0.0,HOLD_CASH
2017-03-27,1,CMS,XEL,34.5463,34.2669,1.045,-2.2927,1,0.0,-0.0833,-0.0833,ENTER_LONG_A
2017-03-28,1,CMS,XEL,34.5923,34.3894,1.045,-2.2391,1,-0.098,-0.0833,-0.1813,HOLDING
2017-03-29,1,CMS,XEL,34.3318,34.0373,1.045,-1.5349,1,0.0324,-0.0833,-0.051,HOLDING
2017-03-30,1,CMS,XEL,34.1863,33.9148,1.045,-1.4267,1,0.0129,-0.0833,-0.0704,HOLDING
2017-03-31,1,CMS,XEL,34.2706,34.022,1.045,-1.3745,1,-0.0209,-0.0833,-0.1042,HOLDING
2017-04-03,1,CMS,XEL,34.3395,33.9837,1.045,-0.8538,1,0.108,-0.0833,0.0247,HOLDING
2017-04-04,1,CMS,XEL,34.4008,34.0679,1.045,-0.8738,1,0.0756,-0.0833,-0.0077,HOLDING
2017-04-05,1,CMS,XEL,34.6689,34.3052,1.045,-0.7213,1,0.097,-0.0833,0.0137,HOLDING
2017-04-06,1,CMS,XEL,34.5463,34.1291,1.045,-0.3774,1,0.1712,-0.0833,0.0879,HOLDING
2017-04-07,1,CMS,XEL,34.4314,33.9837,1.045,-0.1164,1,0.2164,-0.0833,0.1331,HOLDING
2017-04-10,1,CMS,XEL,34.6535,34.1215,1.045,0.3621,1,0.3072,-0.0833,0.2239,HOLDING
2017-04-11,1,CMS,XEL,34.6995,34.1215,1.045,0.7633,1,0.3614,-0.0833,0.2781,HOLDING
2017-04-12,1,CMS,XEL,34.891,34.3664,1.045,0.4878,1,0.283,-0.0833,0.1996,HOLDING
2017-04-13,1,CMS,XEL,34.6306,34.3052,1.045,-0.7561,1,0.0518,-0.0833,-0.0315,HOLDING
2017-04-17,1,CMS,XEL,34.891,34.5042,1.045,-0.3042,1,0.1117,-0.0833,0.0284,HOLDING
2017-04-18,1,CMS,XEL,34.9982,34.5195,1.045,0.549,1,0.2192,-0.0833,0.1359,HOLDING
2017-04-19,1,CMS,XEL,34.5769,34.2899,1.045,-0.9625,1,0.0076,-0.0833,-0.0757,HOLDING
2017-04-20,1,CMS,XEL,34.3318,34.1751,1.045,-1.8662,1,-0.1388,-0.0833,-0.2222,HOLDING
2017-04-21,1,CMS,XEL,34.6153,34.3128,1.045,-0.5668,1,0.0243,-0.0833,-0.0591,HOLDING
2017-04-24,1,CMS,XEL,34.8297,34.4583,1.045,0.0007,1,0.0965,-0.0833,0.0132,HOLDING
2017-04-25,1,CMS,XEL,34.8604,34.4506,1.045,0.2958,1,0.1422,-0.0833,0.0589,HOLDING
2017-04-26,1,CMS,XEL,34.7455,34.3205,1.045,0.426,1,0.1684,-0.0833,0.085,HOLDING
2017-04-27,1,CMS,XEL,34.8451,34.5424,1.045,-0.8601,1,0.01,-0.0833,-0.0733,HOLDING
2017-04-28,1,CMS,XEL,34.7761,34.4812,1.045,-0.8962,1,0.0047,-0.0833,-0.0786,HOLDING
2017-05-01,1,CMS,XEL,34.5846,34.2899,1.045,-0.8268,1,0.0167,-0.0833,-0.0667,HOLDING
2017-05-02,1,CMS,XEL,34.7148,34.2975,1.045,0.3411,1,0.1607,-0.0833,0.0774,HOLDING
2017-05-03,1,CMS,XEL,34.7094,34.221,1.045,0.9797,1,0.2495,-0.0833,0.1662,HOLDING
2017-05-04,1,CMS,XEL,34.8252,34.3817,1.045,0.4272,1,0.1863,-0.0833,0.103,HOLDING
2017-05-05,1,CMS,XEL,35.0644,34.4812,1.045,1.5114,1,0.3448,-0.0833,0.2615,HOLDING
2017-05-08,1,CMS,XEL,35.0953,34.5424,1.045,1.1475,1,0.3051,-0.0833,0.2218,HOLDING
2017-05-09,1,CMS,XEL,34.6477,34.2669,1.045,-0.1214,1,0.1196,-0.0833,0.0363,HOLDING
2017-05-10,1,CMS,XEL,34.8638,34.3588,1.045,1.0404,1,0.2603,-0.0833,0.177,HOLDING
2017-05-11,1,CMS,XEL,34.8792,34.5578,1.045,-0.7227,1,0.0312,-0.0833,-0.0521,HOLDING
2017-05-12,1,CMS,XEL,35.1416,34.8869,1.045,-1.4176,1,-0.0683,-0.0833,-0.1516,HOLDING
2017-05-15,1,CMS,XEL,35.2727,35.0629,1.045,-1.6707,1,-0.1323,-0.0833,-0.2156,HOLDING
2017-05-16,1,CMS,XEL,34.9641,34.8792,1.045,-2.1711,1,-0.2681,-0.0833,-0.3515,HOLDING
2017-05-17,1,CMS,XEL,35.157,34.9099,1.045,-0.9325,1,-0.0786,-0.0833,-0.162,HOLDING
2017-05-18,1,CMS,XEL,35.3036,34.9328,1.045,-0.1151,1,0.0658,-0.0833,-0.0175,HOLDING
2017-05-19,1,CMS,XEL,35.5351,35.0935,1.045,0.3155,1,0.1391,-0.0833,0.0558,HOLDING
2017-05-22,1,CMS,XEL,35.8592,35.438,1.045,0.0148,1,0.0934,-0.0833,0.0101,HOLDING
2017-05-23,1,CMS,XEL,36.0135,35.5987,1.045,-0.0791,1,0.0757,-0.0833,-0.0076,HOLDING
2017-05-24,1,CMS,XEL,36.1293,35.7977,1.045,-0.7137,1,-0.0351,-0.0833,-0.1184,HOLDING
2017-05-25,1,CMS,XEL,36.5846,36.1728,1.045,-0.2839,1,0.0359,-0.0833,-0.0474,HOLDING
2017-05-26,1,CMS,XEL,36.5846,36.2034,1.045,-0.5175,1,-0.0022,-0.0833,-0.0855,HOLDING
2017-05-30,1,CMS,XEL,36.6386,36.4177,1.045,-1.5893,1,-0.2048,-0.0833,-0.2881,HOLDING
2017-05-31,1,CMS,XEL,36.5846,36.6703,1.045,-2.7378,1,-0.5824,-0.0833,-0.6657,HOLDING
2017-06-01,1,CMS,XEL,36.7929,36.8386,1.045,-2.1297,1,-0.5459,-0.0833,-0.6292,HOLDING
2017-06-02,1,CMS,XEL,36.8778,36.9841,1.045,-2.0383,1,-0.6264,-0.0833,-0.7098,HOLDING
2017-06-05,1,CMS,XEL,36.5151,36.6167,1.045,-1.735,1,-0.5977,-0.0833,-0.681,HOLDING
2017-06-06,1,CMS,XEL,36.5151,36.3871,1.045,-0.6707,1,-0.3123,-0.0833,-0.3957,HOLDING
2017-06-07,1,CMS,XEL,36.6695,36.6626,1.045,-1.1269,1,-0.4727,-0.0833,-0.5561,HOLDING
2017-06-08,1,CMS,XEL,36.2065,36.234,1.045,-1.0962,1,-0.4862,-0.0833,-0.5695,HOLDING
2017-06-09,1,CMS,XEL,36.2528,36.2416,1.045,-0.8361,1,-0.4411,-0.0833,-0.5244,HOLDING
2017-06-12,1,CMS,XEL,36.2836,36.1115,1.045,-0.0537,1,-0.243,-0.0833,-0.3264,HOLDING
2017-06-13,1,CMS,XEL,36.4765,36.3043,1.045,-0.0739,1,-0.2551,-0.0833,-0.3384,HOLDING
2017-06-14,1,CMS,XEL,36.8392,36.5357,1.045,0.4295,1,-0.1148,-0.0833,-0.1981,HOLDING
2017-06-15,1,CMS,XEL,37.1016,36.7054,1.045,0.7812,1,-0.0162,-0.0833,-0.0995,HOLDING
2017-06-16,1,CMS,XEL,37.2328,36.8597,1.045,0.6813,1,-0.0531,-0.0833,-0.1365,HOLDING
2017-06-19,1,CMS,XEL,37.009,36.7054,1.045,0.486,1,-0.1254,-0.0833,-0.2087,HOLDING
2017-06-20,1,CMS,XEL,37.0553,36.7748,1.045,0.4322,1,-0.1571,-0.0833,-0.2404,HOLDING
2017-06-21,1,CMS,XEL,36.8161,36.6746,1.045,-0.1649,1,-0.3146,-0.0833,-0.398,HOLDING
2017-06-22,1,CMS,XEL,36.7466,36.5126,1.045,0.4231,1,-0.1953,-0.0833,-0.2786,HOLDING
2017-06-23,1,CMS,XEL,36.5074,36.3506,1.045,0.1221,1,-0.2761,-0.0833,-0.3595,HOLDING
2017-06-26,1,CMS,XEL,36.7003,36.5434,1.045,0.1471,1,-0.2882,-0.0833,-0.3716,HOLDING
2017-06-27,1,CMS,XEL,36.2836,36.2581,1.045,-0.5418,1,-0.4251,-0.0833,-0.5085,HOLDING
2017-06-28,1,CMS,XEL,35.9595,35.8416,1.045,0.1064,1,-0.2898,-0.0833,-0.3732,HOLDING
2017-06-29,1,CMS,XEL,35.7512,35.4482,1.045,1.3613,1,-0.0468,-0.0833,-0.1301,HOLDING
2017-06-30,1,CMS,XEL,35.6894,35.3865,1.045,1.2964,1,-0.0429,-0.0833,-0.1263,HOLDING
2017-07-03,1,CMS,XEL,35.4965,35.1474,1.045,1.6205,1,0.0267,-0.0833,-0.0567,HOLDING
2017-07-05,1,CMS,XEL,35.3499,35.1166,1.045,0.6749,1,-0.1079,-0.0833,-0.1913,HOLDING
2017-07-06,1,CMS,XEL,35.265,35.1474,1.045,-0.318,1,-0.2464,-0.0833,-0.3298,HOLDING
2017-07-07,1,CMS,XEL,35.3036,35.24,1.045,-0.9365,1,-0.3159,-0.0833,-0.3993,HOLDING
2017-07-10,1,CMS,XEL,35.1801,35.1397,1.045,-1.209,1,-0.337,-0.0833,-0.4203,HOLDING
2017-07-11,1,CMS,XEL,35.1647,35.1243,1.045,-1.1259,1,-0.336,-0.0833,-0.4193,HOLDING
2017-07-12,1,CMS,XEL,35.5274,35.3942,1.045,-0.3879,1,-0.2437,-0.0833,-0.327,HOLDING
2017-07-13,1,CMS,XEL,35.265,35.2245,1.045,-1.0602,1,-0.3423,-0.0833,-0.4256,HOLDING
2017-07-14,1,CMS,XEL,35.4194,35.4174,1.045,-1.3528,1,-0.3998,-0.0833,-0.4832,HOLDING
2017-07-17,1,CMS,XEL,35.4965,35.5716,1.045,-1.8432,1,-0.5005,-0.0833,-0.5838,HOLDING
2017-07-18,1,CMS,XEL,35.5737,35.7876,1.045,-2.4407,1,-0.6779,-0.0833,-0.7612,HOLDING
2017-07-19,1,CMS,XEL,35.6817,35.9573,1.045,-2.3317,1,-0.7613,-0.0833,-0.8446,HOLDING
2017-07-20,1,CMS,XEL,35.9518,36.3506,1.045,-2.4546,1,-0.9315,-0.0833,-1.0148,HOLDING
2017-07-21,1,CMS,XEL,36.0753,36.5743,1.045,-2.3575,1,-1.0639,-0.0833,-1.1472,HOLDING
2017-07-24,1,CMS,XEL,35.7975,36.1732,1.045,-1.57,1,-0.8931,-0.0833,-0.9765,HOLDING
2017-07-25,1,CMS,XEL,35.62,36.019,1.045,-1.4519,1,-0.9108,-0.0833,-0.9941,HOLDING
2017-07-26,1,CMS,XEL,35.9055,36.4586,1.045,-1.7818,1,-1.1204,-0.0833,-1.2037,HOLDING
2017-07-27,1,CMS,XEL,36.1833,36.7594,1.045,-1.6416,1,-1.1665,-0.0833,-1.2498,HOLDING
2017-07-28,1,CMS,XEL,35.728,36.3738,1.045,-1.6153,1,-1.2243,-0.0833,-1.3076,HOLDING
2017-07-31,1,CMS,XEL,35.6817,36.4895,1.045,-1.842,1,-1.4226,-0.0833,-1.506,HOLDING
2017-08-01,1,CMS,XEL,35.9904,36.69,1.045,-1.4169,1,-1.3078,-0.0833,-1.3911,HOLDING
2017-08-02,1,CMS,XEL,36.2492,36.798,1.045,-0.904,1,-1.1366,-0.0833,-1.22,HOLDING
