Date,Pair_Rank,Ticker_A,Ticker_B,Price_A,Price_B,Hedge_Ratio,ZScore,Position,Unrealized_PnL,Realized_PnL,Cumulative_PnL,Status
2020-08-10,1,CMS,LNT,53.3384,46.7333,0.811,0.0,0,0.0,0.0,0.0,HOLD_CASH
2020-08-11,1,CMS,LNT,51.6208,45.3064,0.811,0.0,0,0.0,0.0,0.0,HOLD_CASH
2020-08-12,1,CMS,LNT,51.9508,45.5343,0.811,0.0,0,0.0,0.0,0.0,HOLD_CASH
2020-08-13,1,CMS,LNT,51.5785,45.5765,0.811,0.0,0,0.0,0.0,0.0,HOLD_CASH
2020-08-14,1,CMS,LNT,51.5108,45.3992,0.811,0.0,0,0.0,0.0,0.0,HOLD_CASH
2020-08-17,1,CMS,LNT,51.6123,45.509,0.811,0.0,0,0.0,0.0,0.0,HOLD_CASH
2020-08-18,1,CMS,LNT,51.5447,45.2979,0.811,0.0,0,0.0,0.0,0.0,HOLD_CASH
2020-08-19,1,CMS,LNT,51.3416,45.4414,0.811,0.0,0,0.0,0.0,0.0,HOLD_CASH
2020-08-20,1,CMS,LNT,51.0708,45.2726,0.811,0.0,0,0.0,0.0,0.0,HOLD_CASH
2020-08-21,1,CMS,LNT,51.0962,45.661,0.811,0.0,0,0.0,0.0,0.0,HOLD_CASH
2020-08-24,1,CMS,LNT,51.477,46.1422,0.811,0.0,0,0.0,0.0,0.0,HOLD_CASH
2020-08-25,1,CMS,LNT,50.9439,45.8045,0.811,0.0,0,0.0,0.0,0.0,HOLD_CASH
2020-08-26,1,CMS,LNT,50.2586,45.6272,0.811,0.0,0,0.0,0.0,0.0,HOLD_CASH
2020-08-27,1,CMS,LNT,50.5293,45.5934,0.811,0.0,0,0.0,0.0,0.0,HOLD_CASH
2020-08-28,1,CMS,LNT,50.8085,45.8636,0.811,0.0,0,0.0,0.0,0.0,HOLD_CASH
2020-08-31,1,CMS,LNT,51.1808,45.7201,0.811,0.0,0,0.0,0.0,0.0,HOLD_CASH
2020-09-01,1,CMS,LNT,50.9524,45.1544,0.811,0.0,0,0.0,0.0,0.0,HOLD_CASH
2020-09-02,1,CMS,LNT,52.2554,46.1507,0.811,0.0,0,0.0,0.0,0.0,HOLD_CASH
2020-09-03,1,CMS,LNT,52.3823,45.5681,0.811,0.0,0,0.0,0.0,0.0,HOLD_CASH
