Date,Pair_Rank,Ticker_A,Ticker_B,Price_A,Price_B,Hedge_Ratio,ZScore,Position,Unrealized_PnL,Realized_PnL,Cumulative_PnL,Status
2023-04-12,1,AVB,EQR,154.5643,53.451,0.9736,0.0,0,0.0,0.0,0.0,HOLD_CASH
2023-04-13,1,AVB,EQR,154.5461,53.6566,0.9736,0.0,0,0.0,0.0,0.0,HOLD_CASH
2023-04-14,1,AVB,EQR,154.3553,53.6566,0.9736,0.0,0,0.0,0.0,0.0,HOLD_CASH
2023-04-17,1,AVB,EQR,158.1355,54.8005,0.9736,0.0,0,0.0,0.0,0.0,HOLD_CASH
2023-04-18,1,AVB,EQR,157.4994,54.8988,0.9736,0.0,0,0.0,0.0,0.0,HOLD_CASH
2023-04-19,1,AVB,EQR,159.2623,55.4976,0.9736,0.0,0,0.0,0.0,0.0,HOLD_CASH
2023-04-20,1,AVB,EQR,157.4176,54.7558,0.9736,0.0,0,0.0,0.0,0.0,HOLD_CASH
2023-04-21,1,AVB,EQR,157.5085,54.7826,0.9736,0.0,0,0.0,0.0,0.0,HOLD_CASH
2023-04-24,1,AVB,EQR,157.2814,54.6933,0.9736,0.0,0,0.0,0.0,0.0,HOLD_CASH
2023-04-25,1,AVB,EQR,155.9274,54.0856,0.9736,0.0,0,0.0,0.0,0.0,HOLD_CASH
2023-04-26,1,AVB,EQR,155.4457,53.8443,0.9736,0.0,0,0.0,0.0,0.0,HOLD_CASH
2023-04-27,1,AVB,EQR,161.4342,55.2384,0.9736,0.0,0,0.0,0.0,0.0,HOLD_CASH
2023-04-28,1,AVB,EQR,163.9059,56.5253,0.9736,0.0,0,0.0,0.0,0.0,HOLD_CASH
2023-05-01,1,AVB,EQR,165.0872,56.8917,0.9736,0.0,0,0.0,0.0,0.0,HOLD_CASH
2023-05-02,1,AVB,EQR,161.9794,55.7746,0.9736,0.0,0,0.0,0.0,0.0,HOLD_CASH
2023-05-03,1,AVB,EQR,161.5705,55.7031,0.9736,0.0,0,0.0,0.0,0.0,HOLD_CASH
2023-05-04,1,AVB,EQR,161.9976,55.8372,0.9736,0.0,0,0.0,0.0,0.0,HOLD_CASH
2023-05-05,1,AVB,EQR,163.3425,56.6415,0.9736,0.0,0,0.0,0.0,0.0,HOLD_CASH
