Date,Pair_Rank,Ticker_A,Ticker_B,Price_A,Price_B,ZScore,Position,Unrealized_PnL,Realized_PnL,Cumulative_PnL,Status
2010-07-06,1,EVRG,WEC,11.7911,15.3198,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-07-07,1,EVRG,WEC,12.14,15.7343,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-07-08,1,EVRG,WEC,12.2708,15.8,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-07-09,1,EVRG,WEC,12.3798,15.8328,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-07-12,1,EVRG,WEC,12.4616,15.8775,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-07-13,1,EVRG,WEC,12.5543,15.9998,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-07-14,1,EVRG,WEC,12.6033,16.0296,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-07-15,1,EVRG,WEC,12.7069,16.0743,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-07-16,1,EVRG,WEC,12.4562,15.7642,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-07-19,1,EVRG,WEC,12.6415,16.0385,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-07-20,1,EVRG,WEC,12.7451,16.2026,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-07-21,1,EVRG,WEC,12.5925,15.9252,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-07-22,1,EVRG,WEC,12.8159,16.2533,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-07-23,1,EVRG,WEC,12.9141,16.4113,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-07-26,1,EVRG,WEC,13.1321,16.4769,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-07-27,1,EVRG,WEC,13.3447,16.6052,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-07-28,1,EVRG,WEC,13.2302,16.5097,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-07-29,1,EVRG,WEC,13.143,16.3517,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-07-30,1,EVRG,WEC,13.0176,16.1877,0.0,0,0.0,0.0,0.0,HOLD_CASH
2010-08-02,1,EVRG,WEC,13.2139,16.5127,1.0705,0,0.0,0.0,0.0,HOLD_CASH
2010-08-03,1,EVRG,WEC,13.1594,16.4352,1.0503,0,0.0,0.0,0.0,HOLD_CASH
2010-08-04,1,EVRG,WEC,13.1921,16.465,1.0555,0,0.0,0.0,0.0,HOLD_CASH
2010-08-05,1,EVRG,WEC,13.3175,16.5396,1.4257,0,0.0,0.0,0.0,HOLD_CASH
2010-08-06,1,EVRG,WEC,13.263,16.6529,0.257,0,0.0,0.0,0.0,HOLD_CASH
2010-08-09,1,EVRG,WEC,13.3338,16.6857,0.5417,0,0.0,0.0,0.0,HOLD_CASH
2010-08-10,1,EVRG,WEC,13.3502,16.7364,0.2653,0,0.0,0.0,0.0,HOLD_CASH
2010-08-11,1,EVRG,WEC,13.0013,16.5772,-1.6856,0,0.0,0.0,0.0,HOLD_CASH
2010-08-12,1,EVRG,WEC,12.865,16.5351,-2.1939,1,0.0,-0.5,-0.5,ENTER_LONG_A
2010-08-13,1,EVRG,WEC,13.0013,16.5862,-1.3452,1,1.8764,-0.5,1.3764,HOLDING
2010-08-16,1,EVRG,WEC,12.9849,16.6282,-1.5768,1,0.9228,-0.5,0.4228,HOLDING
2010-08-17,1,EVRG,WEC,13.1158,16.8415,-1.6745,1,0.2408,-0.5,-0.2592,HOLDING
2010-08-18,1,EVRG,WEC,12.9686,16.8745,-2.28,1,-3.1189,-0.5,-3.6189,HOLDING
2010-08-19,1,EVRG,WEC,12.805,16.6883,-2.0277,1,-3.4812,-0.5,-3.9812,HOLDING
2010-08-20,1,EVRG,WEC,12.7669,16.7093,-1.9648,1,-4.5406,-0.5,-5.0406,HOLDING
2010-08-23,1,EVRG,WEC,12.8323,16.7304,-1.5328,1,-3.5875,-0.5,-4.0875,HOLDING
2010-08-24,1,EVRG,WEC,12.8432,16.7754,-1.45,1,-4.0569,-0.5,-4.5569,HOLDING
2010-08-25,1,EVRG,WEC,12.8814,16.7814,-1.1833,1,-3.406,-0.5,-3.906,HOLDING
2010-08-26,1,EVRG,WEC,12.8814,16.6403,-0.6733,1,-1.2715,-0.5,-1.7715,HOLDING
2010-08-27,1,EVRG,WEC,13.0994,16.9767,-0.7604,1,-2.1205,-0.5,-2.6205,HOLDING
2010-08-30,1,EVRG,WEC,12.9631,16.7154,-0.4161,1,-0.8179,-0.5,-1.3179,HOLDING
2010-08-31,1,EVRG,WEC,13.0667,16.7424,0.015,1,0.786,-0.5,0.286,HOLDING
2010-09-01,1,EVRG,WEC,13.3066,17.1148,-0.1323,1,-0.1841,-0.5,-0.6841,HOLDING
2010-09-02,1,EVRG,WEC,13.2848,17.1238,-0.1754,1,-0.744,-0.5,-1.244,HOLDING
2010-09-03,1,EVRG,WEC,13.3066,17.235,-0.4576,1,-2.0006,-0.5,-2.5006,HOLDING
2010-09-07,1,EVRG,WEC,13.2293,17.1329,-0.3684,1,-1.9587,-0.5,-2.4587,HOLDING
