Date,Pair_Rank,Ticker_A,Ticker_B,Price_A,Price_B,Mean_A,Std_A,Mean_B,Std_B,Hedge_Ratio,ZScore,Position,Unrealized_PnL,Realized_PnL,Cumulative_PnL,Status
2021-12-01,1,AVB,UDR,199.0374,46.0331,173.1837,23.9859,39.876,5.4932,0.9957,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2021-12-02,1,AVB,UDR,206.2343,47.779,173.1837,23.9859,39.876,5.4932,0.9957,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2021-12-03,1,AVB,UDR,205.8363,47.6356,173.1837,23.9859,39.876,5.4932,0.9957,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2021-12-06,1,AVB,UDR,208.3449,48.4706,173.1837,23.9859,39.876,5.4932,0.9957,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2021-12-07,1,AVB,UDR,208.6649,49.7441,173.1837,23.9859,39.876,5.4932,0.9957,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2021-12-08,1,AVB,UDR,212.3239,49.8369,173.1837,23.9859,39.876,5.4932,0.9957,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2021-12-09,1,AVB,UDR,209.7808,49.179,173.1837,23.9859,39.876,5.4932,0.9957,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2021-12-10,1,AVB,UDR,211.8135,49.2381,173.1837,23.9859,39.876,5.4932,0.9957,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2021-12-13,1,AVB,UDR,214.5816,50.0562,173.1837,23.9859,39.876,5.4932,0.9957,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2021-12-14,1,AVB,UDR,211.2686,49.4152,173.1837,23.9859,39.876,5.4932,0.9957,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2021-12-15,1,AVB,UDR,215.2995,50.2839,173.1837,23.9859,39.876,5.4932,0.9957,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2021-12-16,1,AVB,UDR,212.7131,49.4995,173.1837,23.9859,39.876,5.4932,0.9957,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2021-12-17,1,AVB,UDR,211.5194,48.8838,173.1837,23.9859,39.876,5.4932,0.9957,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2021-12-20,1,AVB,UDR,208.9417,48.6561,173.1837,23.9859,39.876,5.4932,0.9957,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2021-12-21,1,AVB,UDR,212.073,49.1031,173.1837,23.9859,39.876,5.4932,0.9957,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2021-12-22,1,AVB,UDR,213.8117,49.6007,173.1837,23.9859,39.876,5.4932,0.9957,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2021-12-23,1,AVB,UDR,212.592,49.4911,173.1837,23.9859,39.876,5.4932,0.9957,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2021-12-27,1,AVB,UDR,215.9915,50.1237,173.1837,23.9859,39.876,5.4932,0.9957,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2021-12-28,1,AVB,UDR,216.6057,50.1321,173.1837,23.9859,39.876,5.4932,0.9957,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2021-12-29,1,AVB,UDR,218.4568,50.4526,173.1837,23.9859,39.876,5.4932,0.9957,1.0425,0.0,0.0,0.0,0.0,HOLD_CASH
2021-12-30,1,AVB,UDR,218.7179,50.5032,173.1837,23.9859,39.876,5.4932,0.9957,1.0524,0.0,0.0,0.0,0.0,HOLD_CASH
2021-12-31,1,AVB,UDR,219.8757,50.596,173.1837,23.9859,39.876,5.4932,0.9957,1.4175,0.0,0.0,0.0,0.0,HOLD_CASH
2022-01-03,1,AVB,UDR,219.9018,50.5201,173.1837,23.9859,39.876,5.4932,0.9957,1.5049,0.0,0.0,0.0,0.0,HOLD_CASH
2022-01-04,1,AVB,UDR,222.078,51.2707,173.1837,23.9859,39.876,5.4932,0.9957,0.8214,0.0,0.0,0.0,0.0,HOLD_CASH
2022-01-05,1,AVB,UDR,218.6222,49.9381,173.1837,23.9859,39.876,5.4932,0.9957,2.2452,-1.0,0.0,-0.0833,-0.0833,ENTER_SHORT_A
2022-01-06,1,AVB,UDR,219.3011,49.955,173.1837,23.9859,39.876,5.4932,0.9957,2.2507,-1.0,-0.1158,-0.0833,-0.1992,HOLDING
2022-01-07,1,AVB,UDR,216.6374,49.3974,173.1837,23.9859,39.876,5.4932,0.9957,1.8563,-1.0,-0.07,-0.0833,-0.1533,HOLDING
2022-01-10,1,AVB,UDR,216.4372,49.2277,173.1837,23.9859,39.876,5.4932,0.9957,1.8547,-1.0,-0.1728,-0.0833,-0.2561,HOLDING
2022-01-11,1,AVB,UDR,216.9334,49.4229,173.1837,23.9859,39.876,5.4932,0.9957,1.4803,-1.0,-0.1054,-0.0833,-0.1887,HOLDING
2022-01-12,1,AVB,UDR,218.2478,49.9915,173.1837,23.9859,39.876,5.4932,0.9957,0.7851,-1.0,0.1159,-0.0833,0.0326,HOLDING
2022-01-13,1,AVB,UDR,218.5526,50.0509,173.1837,23.9859,39.876,5.4932,0.9957,0.7336,-1.0,0.1071,-0.0833,0.0237,HOLDING
2022-01-14,1,AVB,UDR,216.472,49.7114,173.1837,23.9859,39.876,5.4932,0.9957,0.3055,0.0,0.0,0.0567,0.0567,EXIT
2022-01-18,1,AVB,UDR,215.8627,49.5756,173.1837,23.9859,39.876,5.4932,0.9957,0.2538,0.0,0.0,0.0567,0.0567,HOLD_CASH
2022-01-19,1,AVB,UDR,214.1131,48.761,173.1837,23.9859,39.876,5.4932,0.9957,1.2601,0.0,0.0,0.0567,0.0567,HOLD_CASH
2022-01-20,1,AVB,UDR,211.8498,48.1076,173.1837,23.9859,39.876,5.4932,0.9957,1.4502,0.0,0.0,0.0567,0.0567,HOLD_CASH
2022-01-21,1,AVB,UDR,210.6573,47.8021,173.1837,23.9859,39.876,5.4932,0.9957,1.3868,0.0,0.0,0.0567,0.0567,HOLD_CASH
2022-01-24,1,AVB,UDR,209.2557,47.6833,173.1837,23.9859,39.876,5.4932,0.9957,0.7742,0.0,0.0,0.0567,0.0567,HOLD_CASH
2022-01-25,1,AVB,UDR,210.222,47.522,173.1837,23.9859,39.876,5.4932,0.9957,1.758,0.0,0.0,0.0567,0.0567,HOLD_CASH
2022-01-26,1,AVB,UDR,209.3515,47.2589,173.1837,23.9859,39.876,5.4932,0.9957,1.7565,0.0,0.0,0.0567,0.0567,HOLD_CASH
2022-01-27,1,AVB,UDR,206.4876,46.3425,173.1837,23.9859,39.876,5.4932,0.9957,2.1586,-1.0,0.0,-0.0267,-0.0267,ENTER_SHORT_A
2022-01-28,1,AVB,UDR,211.8411,47.8615,173.1837,23.9859,39.876,5.4932,0.9957,1.2456,-1.0,0.2555,-0.0267,0.2288,HOLDING
2022-01-31,1,AVB,UDR,212.5984,48.2348,173.1837,23.9859,39.876,5.4932,0.9957,0.5939,-1.0,0.4324,-0.0267,0.4057,HOLDING
2022-02-01,1,AVB,UDR,212.816,47.819,173.1837,23.9859,39.876,5.4932,0.9957,1.748,-1.0,0.0186,-0.0267,-0.008,HOLDING
2022-02-02,1,AVB,UDR,219.04,49.1853,173.1837,23.9859,39.876,5.4932,0.9957,1.7948,-1.0,-0.0394,-0.0267,-0.066,HOLDING
2022-02-03,1,AVB,UDR,217.8039,48.8204,173.1837,23.9859,39.876,5.4932,0.9957,1.7526,-1.0,-0.1109,-0.0267,-0.1376,HOLDING
2022-02-04,1,AVB,UDR,215.2708,48.3706,173.1837,23.9859,39.876,5.4932,0.9957,1.2471,-1.0,0.0071,-0.0267,-0.0196,HOLDING
2022-02-07,1,AVB,UDR,212.7203,47.7936,173.1837,23.9859,39.876,5.4932,0.9957,1.1028,-1.0,0.0156,-0.0267,-0.0111,HOLDING
2022-02-08,1,AVB,UDR,209.3428,47.2674,173.1837,23.9859,39.876,5.4932,0.9957,0.4159,0.0,0.0,0.1268,0.1268,EXIT
2022-02-09,1,AVB,UDR,216.533,48.3791,173.1837,23.9859,39.876,5.4932,0.9957,1.5826,0.0,0.0,0.1268,0.1268,HOLD_CASH
2022-02-10,1,AVB,UDR,210.6573,46.7583,173.1837,23.9859,39.876,5.4932,0.9957,1.9293,0.0,0.0,0.1268,0.1268,HOLD_CASH
2022-02-11,1,AVB,UDR,209.4995,46.8941,173.1837,23.9859,39.876,5.4932,0.9957,0.928,0.0,0.0,0.1268,0.1268,HOLD_CASH
2022-02-14,1,AVB,UDR,207.3059,46.3425,173.1837,23.9859,39.876,5.4932,0.9957,0.9716,0.0,0.0,0.1268,0.1268,HOLD_CASH
2022-02-15,1,AVB,UDR,208.8814,46.4697,173.1837,23.9859,39.876,5.4932,0.9957,1.5241,0.0,0.0,0.1268,0.1268,HOLD_CASH
2022-02-16,1,AVB,UDR,208.8031,46.7328,173.1837,23.9859,39.876,5.4932,0.9957,0.6541,0.0,0.0,0.1268,0.1268,HOLD_CASH
2022-02-17,1,AVB,UDR,205.5562,46.02,173.1837,23.9859,39.876,5.4932,0.9957,0.479,0.0,0.0,0.1268,0.1268,HOLD_CASH
2022-02-18,1,AVB,UDR,204.6422,46.0285,173.1837,23.9859,39.876,5.4932,0.9957,-0.2859,0.0,0.0,0.1268,0.1268,HOLD_CASH
2022-02-22,1,AVB,UDR,205.6519,46.317,173.1837,23.9859,39.876,5.4932,0.9957,-0.6573,0.0,0.0,0.1268,0.1268,HOLD_CASH
2022-02-23,1,AVB,UDR,204.0241,45.6975,173.1837,23.9859,39.876,5.4932,0.9957,0.2283,0.0,0.0,0.1268,0.1268,HOLD_CASH
2022-02-24,1,AVB,UDR,205.7563,46.0964,173.1837,23.9859,39.876,5.4932,0.9957,0.1642,0.0,0.0,0.1268,0.1268,HOLD_CASH
2022-02-25,1,AVB,UDR,212.4417,47.556,173.1837,23.9859,39.876,5.4932,0.9957,0.4583,0.0,0.0,0.1268,0.1268,HOLD_CASH
2022-02-28,1,AVB,UDR,207.6889,46.5631,173.1837,23.9859,39.876,5.4932,0.9957,-0.0367,0.0,0.0,0.1268,0.1268,HOLD_CASH
2022-03-01,1,AVB,UDR,203.85,46.0879,173.1837,23.9859,39.876,5.4932,0.9957,-2.0218,1.0,0.0,0.0435,0.0435,ENTER_LONG_A
2022-03-02,1,AVB,UDR,209.5082,47.3438,173.1837,23.9859,39.876,5.4932,0.9957,-1.6144,1.0,0.0408,0.0435,0.0843,HOLDING
2022-03-03,1,AVB,UDR,211.6148,47.7596,173.1837,23.9859,39.876,5.4932,0.9957,-1.1957,1.0,0.1024,0.0435,0.1459,HOLDING
